Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
1050.0,0.27668,118.63,4.7414,0.32317,0.069242,0.13472,0.055334,0.056188,0.10351,0.742159148118762
1049.6,0.27673,118.68,4.7387,0.32319,0.069249,0.13472,0.055337,0.056178,0.10354,0.742214885044413
1038.3,0.27473,120.32,4.5882,0.32219,0.069583,0.13507,0.055505,0.055697,0.10504,0.7430737382657253
1049.1,0.27223,120.1,4.6592,0.32385,0.069457,0.13487,0.055404,0.055918,0.10431,0.7438067238358269
1038.7,0.27197,120.89,4.738,0.32612,0.06933,0.13454,0.055305,0.056134,0.10361,0.7450413049831336
1020.9,0.26369,120.42,5.0546,0.3305,0.068832,0.13323,0.054935,0.05706,0.1009,0.7454526052075893
1038.4,0.27253,120.96,4.5393,0.32612,0.069695,0.13518,0.055578,0.055531,0.10561,0.7477174840700653
995.27,0.28249,120.57,4.5364,0.32653,0.069707,0.13511,0.055572,0.055491,0.10572,0.7481292879313189
1040.4,0.27657,120.04,4.7132,0.32903,0.069339,0.13473,0.055364,0.056068,0.10385,0.7483741725919241
1038.3,0.27136,121.61,4.6421,0.32882,0.069532,0.13481,0.055415,0.055841,0.10454,0.7489653317786404
