Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
261.59,7.7038,52.712,8.5753,1.7785e-05,0.27658,0.037002,0.031769,0.028337,0.30497,0.019541,0.11636775759793734
260.26,7.8433,53.204,8.5087,1.9705e-05,0.27652,0.037167,0.031683,0.028361,0.31052,0.01953,0.11729575579819224
261.34,7.9528,53.75,8.5456,2.0179e-05,0.27641,0.037161,0.03169,0.028354,0.31062,0.01954,0.11729607074813551
265.85,8.0262,52.273,8.4037,1.8685e-05,0.27699,0.037111,0.031698,0.028362,0.3104,0.019521,0.11734756282347053
264.34,7.6843,52.938,8.502,1.9673e-05,0.27672,0.03709,0.031714,0.028348,0.31161,0.019536,0.11750341994221936
256.66,7.7094,52.697,8.6928,1.8091e-05,0.27631,0.037,0.031786,0.028322,0.31468,0.01956,0.11794397106203341
225.88,0.69024,52.409,7.6304,1.7509e-05,0.27568,0.038022,0.031036,0.028632,0.31541,0.018946,0.11795489695492169
253.43,7.4476,52.101,8.396,1.7794e-05,0.27656,0.037248,0.031634,0.028396,0.31555,0.019484,0.11814458131886968
264.51,7.6851,52.272,8.5455,1.8548e-05,0.27682,0.036993,0.031767,0.028331,0.31603,0.019549,0.1182482587745442
274.05,7.9106,50.838,8.1991,1.6866e-05,0.27771,0.037057,0.0317,0.028381,0.322,0.019475,0.11938674525955677
