Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
421.11,1.0428,115.58,2.8729,0.06723,0.14563,0.060865,0.1354,0.3516,0.075641,0.8363734330688277
421.16,1.0428,115.66,2.8707,0.067261,0.14565,0.060896,0.13546,0.35147,0.07566,0.8363969755394128
420.65,1.0435,115.66,2.8669,0.067314,0.14569,0.060951,0.13555,0.35166,0.075694,0.8368649591371032
419.71,1.0426,115.68,2.8756,0.067186,0.14559,0.06083,0.13535,0.35257,0.075628,0.8371544820185857
421.39,1.0427,115.32,2.8697,0.067276,0.14567,0.060906,0.13548,0.35228,0.075664,0.8372734466393941
419.73,1.0428,115.6,2.8733,0.067219,0.14562,0.060861,0.1354,0.35259,0.075646,0.8373362226799668
420.59,1.0432,115.31,2.8709,0.067257,0.14565,0.060891,0.13546,0.35264,0.075659,0.8375508245272144
423.82,1.0436,115.67,2.847,0.067613,0.14593,0.061229,0.13603,0.35224,0.075845,0.8388850742926577
421.58,1.0478,115.75,2.8765,0.067191,0.14559,0.060828,0.13533,0.35465,0.075614,0.8391954355793491
423.2,1.0474,115.15,2.8731,0.067245,0.14565,0.060866,0.1354,0.35456,0.075629,0.83934162856193
