Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1406.1,0.35106,190.62,1.5711,0.18693,0.1208,0.95878,0.16933,0.25531,0.18548,0.26923,0.10431,0.12511,2.375267826094537
1450.8,0.69794,187.07,1.267,0.1945,0.12849,1.0196,0.17736,0.2543,0.1944,0.19932,0.1031,0.12928,2.400307623589806
1450.5,0.68193,186.78,1.2905,0.19402,0.12774,1.0406,0.17679,0.25439,0.19354,0.19947,0.10308,0.12888,2.4184731059946243
1438.3,0.5312,185.98,1.366,0.19241,0.12559,1.0564,0.17508,0.25484,0.19099,0.19999,0.1039,0.12762,2.426860023522839
1310.3,1.1635,162.3,1.2274,0.1951,0.12951,1.0542,0.17807,0.25377,0.19584,0.19881,0.10306,0.12996,2.438363404897704
1296.0,0.47726,180.1,1.5398,0.18785,0.12131,1.0718,0.17025,0.25505,0.1862,0.22366,0.1032,0.12542,2.4447083763047734
1443.0,0.84362,186.95,1.2054,0.19574,0.13062,1.0633,0.17889,0.25398,0.19681,0.19882,0.10335,0.13044,2.451962338687831
1050.3,0.3163,82.962,19.239,0.12437,0.12209,1.011,0.14079,0.27342,0.18165,0.29174,0.16636,0.16743,2.478888667898221
1445.4,0.52486,185.7,1.3902,0.19184,0.12492,1.1191,0.17443,0.25487,0.19028,0.20012,0.1038,0.12729,2.486704740296371
1447.0,0.49974,189.83,1.3947,0.19176,0.12483,1.1211,0.17437,0.25493,0.19017,0.20018,0.10375,0.12724,2.4883641782713357
