Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
411.51,0.1197,202.38,7.2882,2.41,0.088784,0.10199,0.051807,0.057962,0.0883,2.7988694343124165
410.48,0.12065,196.31,7.2901,2.4114,0.089108,0.10184,0.051927,0.058066,0.087948,2.80029781439006
422.35,0.1235,193.4,7.3549,2.4133,0.088733,0.10176,0.052036,0.058101,0.087752,2.8016813642018166
408.72,0.11398,200.99,7.2707,2.416,0.089035,0.10197,0.051815,0.057909,0.088451,2.8051296871958393
404.07,0.12484,193.0,7.2419,2.4163,0.089395,0.10183,0.051934,0.058185,0.087648,2.8052703373109757
390.96,0.11566,207.71,7.3057,2.4163,0.090125,0.10185,0.051898,0.058088,0.088232,2.8064602761075674
404.6,0.13151,192.22,7.2449,2.4183,0.089318,0.10182,0.051952,0.058298,0.087375,2.807061826846777
396.8,0.12001,207.61,7.1964,2.4193,0.089086,0.10218,0.051623,0.05795,0.088514,2.808616298094166
399.22,0.11868,196.02,7.2721,2.4226,0.089844,0.10178,0.051975,0.058144,0.087836,2.812182501021087
392.18,0.12223,195.8,7.2933,2.4226,0.090421,0.10167,0.052079,0.058308,0.087485,2.8126017473081064
