iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,906.41,0.013453,2.6023,17.086,1.0003681763388983,0.07477438332360578,1.0241696017840984
2,773.15,0.09596,272.48,8.6326,0.3644555587121173,0.07215856823146322,0.38742434435305967
3,1841.2,0.0055011,170.44,2.2559,0.454052095614197,0.1000300575359285,0.48589265184341646
4,163.09,1.209,314.81,1.0932,0.23316820888921816,0.1330748683864829,0.2755272550992425
5,411.51,0.1197,202.38,7.2882,0.227483047227852,0.07277072501517862,0.2506466884249454
6,317.13,0.67955,111.46,1.9519,0.3246040609357706,0.10573632441520131,0.3582609783258657
7,679.36,0.40798,93.727,4.4132,0.14551974237391385,0.07644226731199223,0.169852071781625
8,900.17,0.32849,124.97,3.8274,0.019126194631662412,0.07892455768006096,0.04424866160390864
9,633.72,0.36518,136.36,3.8487,0.07729582298291632,0.07882659967766392,0.10238710895456875
10,915.63,0.29241,122.27,4.2704,0.03602022822801648,0.076950861175232,0.06051444809044926
11,1065.0,0.27625,119.99,3.545,0.0162675636936773,0.08063044828242197,0.041933032509403056
12,894.18,0.33198,122.79,3.8655,0.01678921142877355,0.07871277055859016,0.041844264466489214
13,893.7,0.31684,123.35,3.8213,0.02040633788979186,0.07890440359068054,0.045522389616141266
14,1050.7,0.26833,115.21,4.912,0.02922359114797298,0.07536689326002959,0.0532136183635989
15,960.25,0.29381,123.12,4.2143,0.016658101010595422,0.07718953983496826,0.04122829465004335
16,1094.4,0.25538,124.78,4.6009,0.020046271995395114,0.07607680815100916,0.04426227213916892
17,964.32,0.29237,122.96,4.3304,0.01614038722226841,0.07678888056747121,0.040583047055880866
18,937.49,0.28858,121.67,4.3823,0.02875157644056258,0.07660139137264475,0.05313455660990914
