Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
731.7,0.34882,120.48,19.994,0.055692,0.32999,0.12994,0.070591,0.084357,0.062194,0.7327606610388586
732.27,0.34876,120.51,19.994,0.055694,0.33003,0.12994,0.070592,0.084356,0.062192,0.7328060952816408
729.05,0.35209,119.84,19.994,0.055683,0.33001,0.12999,0.070662,0.084307,0.062192,0.7328397221141982
737.33,0.34635,120.24,19.994,0.055693,0.33011,0.12997,0.070638,0.084326,0.062194,0.7329348582064321
731.82,0.34785,120.51,19.996,0.055689,0.33022,0.12992,0.070581,0.084363,0.062199,0.7329756843080183
730.12,0.3496,120.54,19.978,0.055693,0.33026,0.12993,0.070576,0.084368,0.062196,0.7330222789610557
729.18,0.35269,120.18,20.0,0.055693,0.33023,0.12998,0.070634,0.084326,0.062183,0.7330430925173554
730.29,0.35101,120.52,20.0,0.055697,0.33026,0.12995,0.070594,0.084353,0.062184,0.733046129496629
738.35,0.34503,120.22,20.0,0.055689,0.33032,0.12996,0.070638,0.084326,0.062198,0.7331348564853337
731.59,0.34864,120.37,19.973,0.05569,0.33038,0.12994,0.070596,0.084355,0.0622,0.7331577591105545
