iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.29389142706122695,0.08862495715380928,0.3221016270858993
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.0515616761251969,0.08399086317253356,0.0782967982221244
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.1625082214014296,0.07791271499832325,0.18730860884481598
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.15479271675074205,0.07376113715181506,0.17827161592232327
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.2021532865697168,0.07230949126385552,0.22517011250392244
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.020166276961146364,0.07294967905719811,0.04338688099898715
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.04863973667257417,0.07289102797565324,0.07184167149132385
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.031424398490837537,0.07315395108074568,0.05471002433324429
9,494.02,0.50636,99.313,12.387,4.517e-06,0.024552311604274058,0.07320061203601999,0.047852790090043396
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.019914170847206928,0.07307632474837844,0.043175087460592995
