iteration,cp_lh_0,cp_lh_1,cp_lh_2,cp_lh_3,cp_lh_4,cp_lh_5,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,19.821,13.682,144.97,216.56,2.6962,68.794,32.167,18.749,0.6039724654134467,0.23673458061846564,0.679327422825878
2,99.517,283.61,133.62,233.7,97.304,14.503,111.29,18.334,0.26940047540158274,0.1382450738500054,0.3134052491242477
3,131.39,0.34424,174.58,223.75,90.76,0.78956,27.132,17.265,0.5935557428001897,0.16623580578245054,0.6464702432184724
4,181.07,174.36,148.34,963.03,4.0863,11.419,111.65,14.436,0.31527302464260454,0.13959358155996893,0.359707041700946
5,114.43,223.26,138.22,211.05,155.06,10.06,65.974,18.597,0.16437815162787375,0.14621319837061864,0.21091925815979337
6,114.3,225.96,140.2,229.67,156.32,38.954,72.37,18.197,0.10259796684903445,0.1529349841487566,0.151278684246945
7,574.68,323.91,40.524,236.41,156.4,114.81,68.555,11.417,0.027074614501871912,0.1011026047440939,0.05925657311084921
8,591.73,324.39,41.325,234.41,169.49,116.99,58.741,10.737,0.05109170146008627,0.1017314116967683,0.08347381553860095
9,583.29,384.88,32.167,251.05,269.98,260.5,60.887,11.732,0.09548585859047941,0.10153560175942425,0.12780564443012443
10,564.47,514.72,41.455,235.62,195.84,142.1,60.811,12.87,0.06373915764584988,0.09992510411644162,0.09554630616405785
11,569.7,406.65,45.996,240.45,116.28,120.56,63.132,11.648,0.015703816659594146,0.1005306175798836,0.047703706099433085
12,576.67,397.33,44.948,243.15,152.82,242.02,62.091,11.824,0.04220641838486298,0.10084835369345778,0.07430744637085018
13,515.93,377.02,120.47,210.1,52.901,160.61,64.332,11.001,0.03090710834947909,0.0995002945829686,0.06257903579343747
14,572.42,401.92,40.931,244.09,148.11,119.81,62.789,11.545,0.01322109448736203,0.10078623229702624,0.04530234861872154
15,581.83,412.47,41.215,227.78,149.41,117.88,62.729,11.24,0.01373300135669789,0.10093653962931655,0.04586209979789132
16,590.16,398.51,3.9865,229.56,179.52,82.008,42.271,10.744,0.19613299857643468,0.1018662351379762,0.22855802828917515
17,611.35,429.62,38.661,231.49,146.9,118.6,62.982,11.133,0.0131920143187869,0.1012707091052363,0.04542748220782644
