Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
1060.2,0.37561,169.98,2.9197,0.15282,0.40965,0.24883,0.093631,0.17937,0.1787,0.071915,0.15632,0.10208,1.5933125785075002
1044.8,0.3795,169.9,2.9367,0.15261,0.41243,0.24894,0.093709,0.17927,0.17878,0.07178,0.15612,0.10199,1.5956299656742146
1043.9,0.37015,169.38,2.9567,0.15231,0.41701,0.24913,0.093821,0.17916,0.17888,0.071596,0.15582,0.10185,1.5995783928858747
1058.1,0.37828,167.14,2.9504,0.15243,0.42751,0.24885,0.093672,0.17898,0.17884,0.071652,0.15593,0.10186,1.6097224371965715
1060.5,0.36401,173.83,2.9538,0.15236,0.42783,0.24919,0.093864,0.17927,0.17888,0.071659,0.15585,0.1019,1.6108123206199745
1071.3,0.379,165.69,2.9319,0.15266,0.42902,0.24865,0.093539,0.17903,0.17874,0.071791,0.15615,0.10195,1.6115317741260917
1010.5,0.41969,164.48,2.9033,0.15317,0.42932,0.2484,0.093459,0.17927,0.17856,0.072062,0.15669,0.10221,1.6131381953583768
1049.5,0.38032,166.34,2.9189,0.15282,0.43024,0.24874,0.09358,0.17929,0.17869,0.071891,0.15633,0.10205,1.6136356663275286
1007.9,0.44585,165.17,2.8341,0.15425,0.43088,0.24783,0.093122,0.1798,0.17818,0.072707,0.15772,0.10272,1.6172130596803098
999.31,0.41995,166.71,2.9186,0.15298,0.43366,0.24859,0.093585,0.17926,0.17864,0.07195,0.1565,0.10214,1.617307956051089
