Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
178.03,3.1378,42.906,15.998,3.3181e-05,0.083923,0.062342,0.054905,0.22425,0.070662,0.12742,0.6234947712684136
177.88,3.1338,43.385,15.998,3.5112e-05,0.08301,0.062834,0.054924,0.22547,0.070232,0.12759,0.6240619205085975
177.45,3.2204,43.491,15.998,3.2941e-05,0.083615,0.062562,0.054904,0.22545,0.070595,0.12733,0.624449307236012
178.63,3.1366,43.103,15.988,3.3298e-05,0.083843,0.062371,0.054916,0.23004,0.070629,0.12742,0.6292190221591708
179.4,3.2334,42.764,15.993,3.3328e-05,0.083962,0.0624,0.054928,0.23049,0.070496,0.1276,0.629878548180139
178.03,3.0997,43.014,15.995,3.3169e-05,0.083911,0.062312,0.054903,0.23092,0.070716,0.12736,0.6301177021980557
182.58,3.265,42.799,15.998,3.4289e-05,0.083834,0.062488,0.054974,0.23429,0.07023,0.12786,0.6336740332935418
179.56,3.2521,43.648,15.993,3.3254e-05,0.083593,0.062575,0.05494,0.2372,0.070466,0.12748,0.6362507239918481
175.5,3.2226,43.044,15.999,3.0168e-05,0.084646,0.062044,0.054843,0.23739,0.071242,0.12687,0.6370348502966118
177.22,3.0779,42.206,15.992,3.3177e-05,0.084225,0.062161,0.054885,0.2441,0.070765,0.12744,0.6435745764332133
