Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1362.3,0.19207,125.15,5.1893,0.057714,0.13256,0.18722,0.10007,0.069084,0.054729,0.6013681096259774
1362.8,0.19198,125.03,5.1645,0.057623,0.13262,0.18714,0.10025,0.0691,0.054742,0.6014840117470692
1362.4,0.192,125.05,5.1574,0.057597,0.13264,0.18734,0.10031,0.069106,0.054746,0.601730551209352
1362.3,0.19181,125.01,5.147,0.057556,0.13266,0.18729,0.10039,0.069117,0.054751,0.6017665075618743
1363.4,0.192,125.02,5.1596,0.057606,0.13263,0.1874,0.10029,0.069102,0.054745,0.601779594547631
1362.7,0.19172,124.7,5.1758,0.057666,0.1326,0.1876,0.10017,0.069095,0.054736,0.6018606501925464
1362.2,0.19234,125.03,5.17,0.057644,0.13261,0.188,0.10021,0.069095,0.054739,0.602299172168142
1362.9,0.19187,124.61,5.1508,0.057575,0.13267,0.18794,0.10036,0.069111,0.054749,0.6023938665216158
1361.9,0.19234,125.18,5.1874,0.057708,0.13256,0.18829,0.10008,0.069084,0.05473,0.6024569675602501
1365.2,0.19198,124.26,5.1484,0.057569,0.13269,0.1883,0.10037,0.069107,0.05475,0.6027863731265967
