Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
479.36,0.50002,100.61,15.499,2.7227e-06,0.06301,0.085724,0.05583,0.129,0.068833,0.28321,0.6856067916052035
477.66,0.50015,100.59,15.492,2.6864e-06,0.063021,0.085731,0.055824,0.12897,0.068821,0.28365,0.6860174756352058
476.76,0.50078,100.58,15.495,2.6872e-06,0.063024,0.085736,0.05582,0.12895,0.068817,0.28378,0.6861259423094161
477.59,0.50015,100.52,15.482,2.7021e-06,0.063022,0.085728,0.055824,0.12897,0.068827,0.28377,0.6861432709374449
477.24,0.50012,100.8,15.438,2.6968e-06,0.063037,0.08577,0.055822,0.12893,0.068779,0.28383,0.6861642456792929
477.92,0.50016,100.81,15.439,2.6955e-06,0.063033,0.085766,0.055824,0.12894,0.068783,0.28403,0.6863772722037145
474.46,0.50034,100.86,15.494,2.6426e-06,0.063042,0.085771,0.055812,0.12889,0.068772,0.2846,0.6868843168930174
477.92,0.50059,100.8,15.405,2.6941e-06,0.063041,0.085777,0.055823,0.12893,0.068772,0.28458,0.6869246325102907
468.14,0.51813,99.919,15.523,2.6457e-06,0.06303,0.085758,0.055759,0.12883,0.068804,0.2849,0.6870769485945802
472.26,0.50354,100.6,15.5,2.5831e-06,0.063046,0.085762,0.055799,0.12886,0.068779,0.28516,0.6874070680929263
