Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g14),Error (g240),Error (g101),Error (g72),Error (g287),Error (g207),Error (g262),Error (g95),Reduced Error
3394.1,0.10463,158.75,3.6159,0.26234,0.044416,0.22017,0.057344,0.097117,0.1133,0.081496,0.11974,0.13599,1.1319221105772068
3397.4,0.10472,158.87,3.6128,0.26245,0.044407,0.22018,0.057417,0.09712,0.11331,0.081552,0.11972,0.136,1.1321644528985688
3395.7,0.10453,158.79,3.6144,0.26265,0.044413,0.22018,0.057371,0.09712,0.1133,0.081515,0.11974,0.136,1.1322830441937535
3399.1,0.10416,158.97,3.6141,0.26422,0.044413,0.22017,0.05737,0.097117,0.1133,0.081509,0.11973,0.136,1.1338309238994198
3365.4,0.10518,158.97,3.6158,0.2655,0.044429,0.22016,0.057345,0.097015,0.11326,0.081472,0.11971,0.13602,1.134908545341526
3412.2,0.10443,158.91,3.5899,0.26589,0.044365,0.22023,0.057833,0.097184,0.11338,0.081865,0.11962,0.13604,1.1364120611821964
3404.1,0.10374,159.19,3.6428,0.26775,0.04446,0.22011,0.056874,0.097124,0.11324,0.081136,0.11986,0.13594,1.1364884175175762
3412.3,0.10448,158.86,3.5912,0.26602,0.044366,0.22023,0.057809,0.097186,0.11338,0.081849,0.11963,0.13604,1.1365072771154185
3393.2,0.10418,158.76,3.6145,0.26703,0.044419,0.22017,0.057343,0.097113,0.11329,0.081488,0.11974,0.136,1.1365892710743606
3412.4,0.10443,158.95,3.5881,0.26602,0.044361,0.22023,0.057868,0.097184,0.11338,0.081889,0.11961,0.13605,1.1366028149746639
