Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
363.66,1.3735,131.99,9.6337,0.035535,0.035534812433438596
363.66,1.3735,131.99,9.6337,0.035535,0.035534812433439776
363.66,1.3735,131.99,9.6337,0.035535,0.03553481243346297
363.66,1.3735,131.99,9.6337,0.035535,0.03553481243347285
363.66,1.3735,131.99,9.6337,0.035535,0.03553481243347303
363.66,1.3735,131.99,9.6337,0.035535,0.035534812433473985
363.66,1.3735,131.99,9.6337,0.035535,0.03553481243347407
363.66,1.3735,131.99,9.6337,0.035535,0.03553481243347479
363.66,1.3735,131.99,9.6337,0.035535,0.035534812433477905
363.66,1.3735,131.99,9.6337,0.035535,0.035534812433478884
