Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1355.8,0.17665,124.06,6.9524,0.060103,0.12999,0.1239,0.095406,0.067621,0.054711,0.53172731366053
1352.4,0.17643,125.24,6.8289,0.06011,0.13006,0.12552,0.095423,0.067734,0.054705,0.53355597962946
1355.8,0.17665,124.06,6.9136,0.060095,0.13003,0.12634,0.09543,0.067649,0.054707,0.5342484824664756
1332.1,0.17662,125.48,6.999,0.060143,0.12976,0.12758,0.095306,0.067634,0.054715,0.5351420159117654
1372.2,0.17297,124.34,7.053,0.060098,0.12998,0.12752,0.095421,0.067617,0.054729,0.5353702893580035
1357.4,0.17801,123.71,6.9781,0.060118,0.12997,0.12789,0.095371,0.067567,0.054713,0.5356310993209523
1366.8,0.17586,124.07,6.9706,0.060105,0.13003,0.12863,0.095412,0.067609,0.054716,0.5364988984063477
1365.0,0.17547,124.12,7.0415,0.060117,0.12994,0.13027,0.095375,0.067571,0.054722,0.5379943513630745
1366.7,0.17584,123.55,7.0464,0.060105,0.12996,0.13066,0.095394,0.067552,0.054723,0.5383986650289116
1366.8,0.17574,123.74,6.8892,0.060074,0.13012,0.13036,0.095485,0.06767,0.054708,0.5384195760121817
