Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
362.95,0.57257,87.65,15.982,1.9686e-07,0.063227,0.088103,0.0559,0.12826,0.066386,0.16589,0.5677696330747248
357.58,0.58384,87.113,15.971,1.9572e-07,0.063215,0.088206,0.055896,0.12825,0.066287,0.1799,0.5817537159642236
356.14,0.59543,84.278,15.972,1.9776e-07,0.063159,0.088275,0.055935,0.12847,0.066314,0.18426,0.586406141429094
359.5,0.59283,84.266,15.928,1.9583e-07,0.063163,0.08826,0.055949,0.12849,0.066336,0.18435,0.5865531576022786
351.18,0.59275,84.917,15.868,1.9782e-07,0.063217,0.088237,0.055886,0.1283,0.066302,0.18798,0.589916840728375
351.18,0.59275,84.917,15.923,1.9782e-07,0.063202,0.088249,0.055893,0.12832,0.066294,0.18897,0.590936390293279
372.56,0.56841,86.632,15.971,1.9389e-07,0.063196,0.08808,0.055956,0.12845,0.066475,0.19129,0.5934514324481751
360.46,0.5927,83.304,15.996,1.9307e-07,0.063125,0.0883,0.055985,0.12862,0.066341,0.19174,0.594111670020385
366.09,0.58322,85.374,15.972,1.9309e-07,0.063163,0.088217,0.055967,0.1285,0.066366,0.19318,0.5953959832422678
351.64,0.607,84.497,15.973,1.9914e-07,0.063158,0.08835,0.055917,0.12841,0.066221,0.20112,0.6031793107273246
