Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1986.1,0.1424,116.95,5.4927,0.068504,0.054649,0.098106,0.05896,0.36382,0.13217,0.7762093166200869
1986.1,0.14152,117.6,5.4985,0.068533,0.054648,0.098105,0.058949,0.36386,0.13211,0.776209323314831
1993.1,0.14034,117.31,5.6444,0.068393,0.054611,0.097304,0.059428,0.3654,0.13177,0.7769108013410236
1986.4,0.1434,116.12,5.4861,0.068467,0.05465,0.098104,0.058975,0.36503,0.13223,0.7774566123653028
1986.1,0.14342,116.62,5.4838,0.068481,0.054652,0.098129,0.058956,0.36512,0.13222,0.7775669066661087
1986.1,0.1424,116.53,5.4847,0.068496,0.05465,0.098137,0.058948,0.3662,0.1322,0.7786293067475538
1994.8,0.14219,117.4,5.4925,0.068503,0.054656,0.098131,0.058943,0.36651,0.13216,0.7789060870437435
1993.7,0.14275,117.05,5.4899,0.068488,0.054656,0.098126,0.058952,0.3665,0.13219,0.7789127273456002
1986.0,0.14243,116.51,5.4723,0.068501,0.054653,0.098202,0.058913,0.36662,0.13223,0.7791175312884414
1986.4,0.1454,115.24,5.5755,0.06833,0.054628,0.097551,0.059321,0.36799,0.13211,0.7799310205001326
