Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
227.46,197.95,63.82,8.6718,0.028576,0.087993,0.022165,0.38508,0.2636,0.1156,0.18741,0.12675,0.1222,1.3393732800764069
233.59,196.81,63.226,8.5179,0.028767,0.08821,0.022898,0.36441,0.26326,0.11543,0.2108,0.12671,0.12215,1.3426157652008488
229.5,200.82,63.407,8.6444,0.028602,0.088193,0.022381,0.37107,0.26353,0.11555,0.2198,0.12681,0.12221,1.3581428260922408
234.13,197.44,63.311,8.4838,0.028794,0.088262,0.023006,0.36488,0.26319,0.1154,0.22652,0.12671,0.12215,1.3589196411701936
233.22,200.36,63.26,8.5927,0.028692,0.088241,0.022698,0.36537,0.2634,0.11547,0.22665,0.12673,0.12214,1.359397078861289
229.41,199.77,63.756,8.6418,0.028611,0.088095,0.022341,0.38215,0.26353,0.11556,0.21025,0.12675,0.12218,1.3594544451314037
234.2,197.41,63.348,8.4836,0.028796,0.088254,0.023005,0.36548,0.26319,0.1154,0.22662,0.1267,0.12215,1.3595932406207398
229.84,199.8,63.757,8.6428,0.028616,0.088091,0.022358,0.38372,0.26353,0.11555,0.21052,0.12673,0.12217,1.3612771127106105
239.02,198.08,62.861,8.5536,0.028814,0.088236,0.023118,0.36646,0.26327,0.11538,0.22889,0.12659,0.12201,1.3627535033204812
227.63,202.03,63.703,8.6989,0.028535,0.088131,0.022141,0.38014,0.26364,0.11561,0.21637,0.12682,0.12222,1.3636133097834418
