Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g303),Error (curve),Error (g86),Error (g237),Reduced Error
1057.8,0.0030228,191.82,7.0359,0.070711,0.2003,0.056106,0.18874,0.096441,0.12171,0.7340080199013591
1057.8,0.003023,191.89,7.031,0.07072,0.20031,0.056105,0.18904,0.096445,0.12171,0.7343410361498748
1025.5,0.0029975,192.33,7.0412,0.070662,0.19989,0.056054,0.19022,0.096083,0.12163,0.7345393165330607
1056.9,0.0030218,192.63,7.0289,0.070715,0.2003,0.056097,0.19404,0.096415,0.12169,0.7392542948376875
1047.2,0.003072,191.85,7.0359,0.070646,0.19999,0.056081,0.1958,0.096183,0.12161,0.7403066725404024
1066.3,0.0029969,192.64,6.9812,0.070849,0.20063,0.056114,0.20312,0.096659,0.12181,0.7491826859647572
1053.5,0.0030661,192.98,7.0073,0.070705,0.20016,0.05608,0.20529,0.096278,0.12163,0.750143877625489
1058.1,0.0030144,193.38,7.0307,0.070712,0.20033,0.056093,0.20496,0.09642,0.12167,0.7501895129211802
1058.1,0.0030141,193.32,7.0356,0.070703,0.20032,0.056094,0.20602,0.096416,0.12167,0.7512202092541844
1046.3,0.003071,192.66,7.0289,0.070649,0.19999,0.056071,0.20743,0.096159,0.12159,0.7518888164353013
