Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (curve),Error (g101),Error (g95),Error (g72),Error (g207),Error (g240),Reduced Error
622.67,0.60823,139.61,19.752,0.052443,0.14633,0.11365,0.37152,0.025702,0.14015,0.11706,0.030329,0.22743,1.224608373423625
601.74,0.6226,140.12,19.95,0.052495,0.14613,0.11364,0.37264,0.025625,0.13995,0.11699,0.030223,0.22742,1.225121435121724
645.08,0.60855,137.36,19.732,0.052103,0.14656,0.11373,0.37213,0.025737,0.14036,0.11708,0.030539,0.22743,1.225680561668954
613.0,0.61668,140.79,19.618,0.05254,0.14612,0.1136,0.37383,0.025668,0.14014,0.117,0.030288,0.22734,1.2265357439334945
655.84,0.60868,135.95,19.488,0.051852,0.14662,0.11371,0.37423,0.025752,0.14059,0.11698,0.030753,0.22733,1.227821343172231
636.82,0.61199,139.02,19.498,0.052315,0.14639,0.11366,0.37484,0.025736,0.14042,0.11707,0.03047,0.22736,1.2282594796905688
633.02,0.60913,139.88,18.843,0.052271,0.14615,0.11347,0.37713,0.025731,0.14071,0.11682,0.030633,0.22708,1.2299854968664197
663.48,0.60857,136.0,19.838,0.051901,0.14675,0.11381,0.37619,0.025764,0.14042,0.11718,0.030639,0.22748,1.2301423788807513
655.02,0.60356,138.3,19.739,0.052222,0.14661,0.11374,0.37647,0.025764,0.14035,0.11726,0.030451,0.22748,1.230353077537115
604.1,0.61139,140.85,19.603,0.052534,0.14606,0.11353,0.37964,0.025635,0.14008,0.11692,0.030272,0.22731,1.2319849746254645
