Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
121.32,9.9278,31.769,15.628,1.7254e-08,0.27218,0.040923,0.0314,0.028281,0.29856,0.020957,0.11538322271694863
120.69,9.8348,33.302,15.959,1.764e-08,0.2713,0.041069,0.031317,0.02823,0.30283,0.021016,0.11596033278557716
118.88,9.9547,33.565,15.937,2.0182e-08,0.27099,0.041111,0.031301,0.028201,0.30421,0.021044,0.11614265501998466
134.46,3.4289,34.097,15.925,1.8101e-08,0.27221,0.039392,0.031826,0.027835,0.34221,0.020938,0.12240162481237377
132.08,3.4644,34.1,15.934,1.8236e-08,0.27198,0.03952,0.031771,0.02785,0.34363,0.020944,0.12261452875733843
132.08,3.4644,34.1,15.976,1.8236e-08,0.27198,0.039514,0.031776,0.027846,0.34473,0.020947,0.1227980132141499
130.23,3.2933,33.848,15.753,1.8075e-08,0.27192,0.039568,0.031735,0.02787,0.35828,0.020923,0.12504803288098554
134.73,3.6583,34.148,15.943,1.7452e-08,0.2722,0.039482,0.031796,0.027862,0.36096,0.020941,0.1255406796514649
120.51,10.908,33.247,15.959,1.6355e-08,0.27133,0.041231,0.031264,0.028283,0.36734,0.021013,0.1267447872510094
132.07,3.3645,33.921,15.93,1.9105e-08,0.27208,0.039425,0.031814,0.027828,0.3763,0.020944,0.12806383535243163
