Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
911.85,0.45999,151.08,3.394,0.14842,0.32624,0.24971,0.095712,0.1752,0.18057,0.069194,0.15054,0.099424,1.4950149468015161
902.64,0.46372,151.92,3.359,0.1487,0.32626,0.24968,0.095604,0.17552,0.18045,0.069342,0.15103,0.099611,1.4961971392158042
912.27,0.46003,151.08,3.3884,0.14847,0.32751,0.24969,0.095692,0.17524,0.18055,0.069216,0.15063,0.099453,1.4964491531648587
908.94,0.46011,151.08,3.3957,0.14839,0.3285,0.24974,0.095721,0.17521,0.18058,0.069185,0.1505,0.099412,1.4972366282989444
912.32,0.46049,151.6,3.389,0.14847,0.32827,0.2497,0.095689,0.17524,0.18056,0.06922,0.15063,0.099459,1.4972417452922968
909.8,0.45898,151.97,3.3931,0.14841,0.32836,0.24978,0.095704,0.17526,0.18058,0.069201,0.15056,0.099438,1.4972949890577323
908.81,0.45921,151.95,3.3918,0.14842,0.3284,0.24978,0.095701,0.17528,0.18057,0.069206,0.15058,0.099443,1.4973805811546155
907.41,0.46194,152.39,3.3712,0.14861,0.32805,0.2497,0.095636,0.17542,0.18049,0.069298,0.15089,0.099557,1.4976591501808592
909.03,0.46247,152.11,3.3928,0.14843,0.3289,0.24973,0.095696,0.17523,0.18057,0.06921,0.15058,0.099445,1.497798442238407
908.09,0.45968,151.95,3.3942,0.1484,0.32948,0.24978,0.095708,0.17526,0.18058,0.069197,0.15054,0.099431,1.4983777886264442
