Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (g86),Error (curve),Error (g59),Error (g237),Reduced Error
1999.4,0.13174,122.58,5.4663,0.058643,0.13285,0.055081,0.23032,0.068785,0.09847,0.644149064745498
1999.5,0.13193,122.57,5.4647,0.058636,0.13286,0.055084,0.23077,0.068784,0.098484,0.6446175996774445
1992.1,0.13174,122.58,5.4663,0.058638,0.13284,0.055078,0.23108,0.068794,0.098478,0.6448998688905304
1992.3,0.1317,122.64,5.4576,0.058601,0.13286,0.055087,0.23142,0.068808,0.098549,0.6453286216542549
1952.0,0.13309,123.05,5.5003,0.058744,0.13268,0.055058,0.23456,0.068776,0.098274,0.6480894085654608
1991.1,0.13159,121.95,5.5403,0.05896,0.13258,0.054996,0.2352,0.068694,0.097873,0.6483032528583655
1990.8,0.13139,123.98,5.4351,0.058484,0.13291,0.055138,0.23431,0.068857,0.098772,0.6484698568922257
1991.8,0.13281,123.01,5.4395,0.058516,0.13296,0.055123,0.23507,0.068817,0.098716,0.6491994523284103
1987.8,0.13356,121.07,5.4669,0.058656,0.13292,0.055055,0.23813,0.068757,0.098451,0.651966761316113
1990.6,0.13124,123.34,5.3954,0.058328,0.13306,0.055158,0.23769,0.068915,0.099078,0.6522269754609767
