Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
619.77,0.4925,117.79,6.3409,0.12912,0.095304,0.035379,0.25789,0.82093,0.11412,0.14113,0.029829,0.13455,1.7582336026888488
631.92,0.47597,116.44,6.4317,0.12872,0.09484,0.034665,0.25828,0.81046,0.1142,0.15678,0.029636,0.13427,1.761849787784995
628.4,0.45818,125.65,6.5777,0.12816,0.094479,0.032369,0.25869,0.73279,0.11433,0.31637,0.029811,0.13366,1.8406493791854805
631.63,0.48005,119.16,6.3512,0.12902,0.095167,0.035124,0.25799,0.7448,0.11414,0.31496,0.029785,0.13449,1.855486207123358
605.43,0.50795,117.81,6.9089,0.12722,0.093494,0.031162,0.25955,0.56412,0.11452,0.50731,0.029334,0.13268,1.859389956883481
611.43,0.49871,117.53,6.8982,0.1272,0.093516,0.031165,0.25953,0.55453,0.11451,0.51698,0.029309,0.13272,1.8594591148658166
610.9,0.49889,117.52,6.8928,0.12722,0.093532,0.031202,0.25952,0.55824,0.11451,0.51403,0.029318,0.13273,1.860291149490331
606.9,0.50314,117.52,6.8856,0.12727,0.093559,0.031279,0.2595,0.56791,0.11451,0.50481,0.029347,0.13275,1.8609264624607011
611.26,0.49869,117.45,6.8876,0.12723,0.093543,0.031247,0.25951,0.56141,0.1145,0.51162,0.029318,0.13275,1.861125695335087
606.13,0.50189,118.43,6.8848,0.12728,0.093578,0.031189,0.25948,0.5642,0.1145,0.50908,0.029383,0.13276,1.861461257337897
