Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g303),Error (curve),Error (g86),Error (g237),Reduced Error
552.66,0.47731,120.49,13.193,0.0639,0.12711,0.067411,0.20074,0.055464,0.086773,0.6013924540782043
548.25,0.47691,121.22,13.174,0.063933,0.12709,0.067367,0.20269,0.055465,0.086808,0.6033557430784102
550.06,0.47297,121.47,13.142,0.063955,0.12708,0.067364,0.20439,0.055458,0.086807,0.6050489817775068
535.9,0.47505,120.58,13.795,0.063642,0.12691,0.067302,0.20504,0.055518,0.086719,0.6051293689178225
521.34,0.51835,119.27,13.434,0.063777,0.12719,0.067272,0.20449,0.055519,0.086929,0.6051788602362718
550.23,0.47299,120.87,13.626,0.063665,0.12698,0.067367,0.21753,0.055538,0.086682,0.6177642385845137
552.38,0.46978,121.77,13.564,0.063699,0.12696,0.067341,0.22574,0.05554,0.086696,0.625968859038925
571.22,0.46356,120.85,12.848,0.064035,0.12714,0.067419,0.2267,0.055424,0.086812,0.6275297694070117
550.0,0.46079,123.05,13.135,0.063993,0.12698,0.067297,0.22747,0.055459,0.086821,0.6280184840973745
539.93,0.50211,120.63,12.896,0.064043,0.12724,0.067345,0.22746,0.055452,0.086927,0.6284668151627387
