Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
780.24,0.035999,377.7,1.9408,9.0895e-05,0.37549,0.016837,0.028678,0.04351,0.037248,0.33443,0.13936601952561503
780.24,0.038902,372.1,1.8973,8.8919e-05,0.3753,0.016867,0.028676,0.043551,0.037257,0.3346,0.13937464520180007
780.24,0.043402,351.32,1.9402,9.3456e-05,0.37758,0.016852,0.028637,0.043481,0.037029,0.33457,0.13969119979763442
780.31,0.035545,379.4,1.9513,9.1102e-05,0.37801,0.016831,0.028677,0.0435,0.03724,0.33439,0.13977365202282718
780.23,0.040125,374.3,1.8958,8.8861e-05,0.3797,0.016872,0.028672,0.043554,0.037238,0.33459,0.1401034245062376
780.21,0.030355,381.82,1.9999,8.945e-05,0.38031,0.016788,0.028685,0.043445,0.037267,0.33423,0.14012149894310397
780.23,0.030474,384.13,1.9829,8.8123e-05,0.38138,0.016797,0.028689,0.043465,0.037298,0.33426,0.1403151745676737
780.05,0.029946,382.17,1.9851,8.8141e-05,0.38349,0.016794,0.028691,0.043461,0.037303,0.33427,0.1406678471383748
780.24,0.030246,386.06,1.9742,8.9543e-05,0.3834,0.016802,0.028698,0.043482,0.037338,0.33429,0.14066932687948497
780.21,0.030191,395.42,1.99,9.1166e-05,0.38618,0.016797,0.028699,0.043477,0.037339,0.33421,0.141116409671911
