Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1998.2,0.19479,232.67,2.7051,0.115,0.094501,0.095293,0.077386,0.11881,0.40649,0.13949,0.22182,0.042605,1.3113895431558011
1984.4,0.195,229.67,2.707,0.11513,0.094431,0.095259,0.077324,0.11869,0.40949,0.13947,0.22182,0.04264,1.3142487246687724
1985.8,0.19742,231.85,2.702,0.11504,0.094509,0.095352,0.077459,0.11883,0.41121,0.13951,0.22181,0.042594,1.3163105680244866
1991.0,0.19439,225.6,2.7019,0.11524,0.094375,0.095403,0.077535,0.11862,0.41286,0.13952,0.22188,0.042669,1.3180986116804256
1979.2,0.19609,239.07,2.6831,0.11487,0.094606,0.095467,0.077581,0.11903,0.41375,0.13955,0.2218,0.042529,1.3191849831826683
1999.6,0.19668,226.5,2.701,0.11517,0.094424,0.095495,0.077683,0.11874,0.41422,0.13955,0.22188,0.042633,1.3197967383226
1995.9,0.20009,243.99,2.6423,0.1147,0.094781,0.096123,0.078505,0.11945,0.41373,0.13979,0.22191,0.042414,1.321409945910226
1996.1,0.19349,234.7,2.7031,0.11496,0.094514,0.095259,0.077326,0.11882,0.417,0.13948,0.2218,0.042598,1.3217685025810615
1998.8,0.19564,231.62,2.7243,0.115,0.094506,0.09506,0.077078,0.11874,0.41813,0.13941,0.22176,0.042622,1.3223071182631871
1997.1,0.19226,232.57,2.7407,0.11499,0.094493,0.094746,0.076637,0.11861,0.42054,0.13931,0.22171,0.042656,1.3236801833725051
