Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
1958.2,0.0043796,105.11,11.439,0.06499,0.38409,0.16308,0.095424,0.075384,0.069483,0.8524570607442626
1940.4,0.0048159,103.95,11.596,0.064952,0.39765,0.16353,0.096163,0.074813,0.069539,0.8666493059722135
1986.2,0.0042159,104.71,11.455,0.065082,0.39718,0.16358,0.095879,0.075313,0.069642,0.8666822207579756
1937.3,0.0048159,103.95,11.596,0.064943,0.39822,0.16348,0.096111,0.074833,0.06953,0.8671192842514599
1962.7,0.004753,104.0,11.615,0.065023,0.40134,0.16391,0.096561,0.074686,0.069645,0.8711655404296561
1948.3,0.0048682,103.97,11.626,0.064984,0.40433,0.16376,0.09644,0.074665,0.069587,0.8737657017748663
1955.4,0.0047108,105.26,11.852,0.065048,0.40603,0.1643,0.097076,0.074403,0.069907,0.8767642981228788
1963.7,0.0048371,103.97,11.717,0.065043,0.40679,0.16425,0.096994,0.074434,0.069752,0.8772613706533189
1891.0,0.0053972,103.05,11.655,0.064819,0.40943,0.16323,0.096006,0.074576,0.069349,0.8774176966968501
1892.4,0.0054055,103.11,11.662,0.064826,0.41104,0.16327,0.096052,0.074551,0.069359,0.8790994890552004
