param_type,param_name,base,out_u_bound,in_l_bound,in_u_bound,out_l_bound
input,cp_tau_s,10,1,2.4058413410689687,3.2186930199913557,0
input,cp_b,10,1,0.6592885380645771,1.2501759480839247,0
input,cp_tau_0,10,1,1.9423404712588528,2.6588886439657737,0
input,cp_n,10,1,0.21947973806513896,1.2920122662363454,0
input,average_strain,10,1,-2.066482342969652,-0.5447286741687206,0
output,average_stress,10,1,2.8127195512526653,3.7467898321526114,0
output,g59_phi_1,10,1,0.22693484001260017,0.28082867763973174,0
output,g59_Phi,10,1,0.3456481414878662,0.3627086109093185,0
output,g59_phi_2,10,1,0.6328013519549085,0.6508415614643831,0
output,g63_phi_1,10,1,0.2843630463131094,0.3308600149746397,0
output,g63_Phi,10,1,0.45146404790560585,0.48664296902351173,0
output,g63_phi_2,10,1,0.5830059633888955,0.6076265624612566,0
output,g86_phi_1,10,1,0.3126215825869812,0.3263153748568165,0
output,g86_Phi,10,1,0.25333800532610634,0.2855573090077737,0
output,g86_phi_2,10,1,0.5571341018275902,0.5728483772756421,0
output,g237_phi_1,10,1,0.33485568961729145,0.33639968898608347,0
output,g237_Phi,10,1,0.33953093874065554,0.3601388135775749,0
output,g237_phi_2,10,1,0.6106814515133003,0.6215086288215992,0
output,g303_phi_1,10,1,0.4032578257871112,0.4139699717480612,0
output,g303_Phi,10,1,0.300899687772249,0.3171227377145382,0
output,g303_phi_2,10,1,0.6500548398717483,0.6633993581650297,0
