Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
228.75,198.91,64.146,8.5484,0.029058,0.088409,0.022898,0.27144,0.26304,0.11536,0.142,0.12663,0.12195,1.1807669049695841
228.69,198.95,64.155,8.5473,0.029058,0.088412,0.0229,0.27151,0.26304,0.11536,0.14209,0.12663,0.12195,1.1809419554536165
228.38,200.73,63.869,8.5969,0.028995,0.088475,0.022805,0.26897,0.26309,0.11537,0.14676,0.12663,0.1219,1.1829933388972709
233.52,197.49,63.541,8.4902,0.029043,0.088363,0.023124,0.26853,0.26294,0.11532,0.14727,0.12654,0.12191,1.1830348055151594
233.4,197.48,63.553,8.4901,0.029044,0.088366,0.023122,0.2687,0.26294,0.11532,0.14725,0.12654,0.12191,1.1831913040689428
233.34,197.54,63.55,8.4915,0.029043,0.088368,0.023118,0.26881,0.26294,0.11532,0.14715,0.12654,0.12191,1.183206467245026
231.36,196.67,63.951,8.5238,0.029079,0.088311,0.022992,0.27388,0.26299,0.11533,0.14702,0.12653,0.12189,1.1880262791478764
234.33,197.39,63.618,8.5089,0.029042,0.088292,0.023088,0.27216,0.26298,0.11532,0.15113,0.12645,0.12185,1.1903179070105046
234.2,197.37,63.668,8.5081,0.029046,0.088287,0.023085,0.27359,0.26298,0.11532,0.15014,0.12646,0.12185,1.1907565025624836
229.98,200.76,63.863,8.5963,0.028989,0.088409,0.022829,0.26659,0.26311,0.11536,0.15753,0.12656,0.12186,1.191237701821721
