Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1930.9,0.12196,125.43,16.373,0.12946,0.19718,0.05585,0.084885,0.07061,0.063018,0.6010086380031701
1931.3,0.12042,125.18,16.193,0.12938,0.19912,0.055833,0.084933,0.070561,0.063079,0.6029116080567715
1938.7,0.12136,124.83,16.731,0.12961,0.20149,0.055859,0.084771,0.070746,0.062941,0.6054238182673102
1938.1,0.11971,126.27,16.513,0.12936,0.20206,0.055865,0.08495,0.070522,0.063002,0.605759233731561
1935.3,0.12143,124.66,16.74,0.12962,0.20222,0.055858,0.084761,0.070759,0.062939,0.606155468199585
1935.3,0.12142,124.61,16.723,0.12962,0.2023,0.055856,0.084761,0.070761,0.062944,0.6062438021029576
1970.8,0.11864,126.01,16.685,0.12952,0.20327,0.055863,0.08486,0.070627,0.062978,0.6071110576120656
1853.3,0.12296,125.76,13.571,0.12844,0.20415,0.055714,0.085886,0.069593,0.063742,0.6075180641998282
1927.3,0.12262,125.63,15.742,0.12929,0.2038,0.055814,0.085044,0.070445,0.063175,0.6075671979753208
1952.2,0.11884,125.94,16.677,0.12946,0.20477,0.055865,0.084885,0.070599,0.062977,0.6085537267701931
