Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1602.2,0.37717,199.48,1.5337,0.18801,0.12107,0.33998,0.1698,0.25458,0.18675,0.20142,0.10493,0.12594,1.6924691900216149
1606.2,0.3831,200.13,1.5294,0.18811,0.12119,0.3503,0.16992,0.25457,0.18688,0.20002,0.10515,0.12601,1.7021377363269758
1605.2,0.38316,200.0,1.5399,0.18785,0.12088,0.34165,0.16959,0.25453,0.18659,0.2166,0.10479,0.12587,1.7083430646055127
1958.8,0.29318,198.39,1.5557,0.18758,0.12109,0.35953,0.16965,0.25456,0.18646,0.20014,0.10731,0.12596,1.7122739597511898
1648.0,0.37894,199.23,1.531,0.18809,0.12121,0.37054,0.1699,0.25456,0.18687,0.1999,0.10523,0.12601,1.7223118988508441
1633.7,0.36912,203.03,1.5305,0.18808,0.12117,0.37819,0.16991,0.25458,0.18682,0.20009,0.10493,0.126,1.729787424140469
1584.9,0.38316,200.0,1.5399,0.18785,0.12086,0.35131,0.16958,0.25454,0.18658,0.22841,0.10485,0.12586,1.7298518671493615
1647.9,0.37784,199.73,1.5408,0.18785,0.12092,0.37583,0.1696,0.25451,0.18658,0.20651,0.10476,0.12588,1.732450754144235
1615.7,0.37233,199.43,1.5406,0.18783,0.12088,0.36858,0.16959,0.25455,0.18655,0.21434,0.1046,0.12585,1.7327712798686328
1633.6,0.37199,202.1,1.5278,0.18814,0.12125,0.38516,0.16999,0.25459,0.18691,0.19992,0.10509,0.12604,1.7370845362204974
