Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3997.3,3.2961,272.62,6.6964,0.10735,0.11072,0.063966,0.17669,1.866,0.44302,0.076971,0.15808,0.18963,3.192469784220335
3958.8,3.2126,277.12,6.6214,0.1071,0.11038,0.064165,0.17728,1.9628,0.38993,0.07739,0.15847,0.19273,3.2402739375550276
3943.3,3.4039,282.44,6.6193,0.10748,0.10973,0.064208,0.17748,2.1392,0.27934,0.077386,0.15884,0.18916,3.302799969720577
3987.2,3.1413,273.52,6.5916,0.1067,0.11057,0.06425,0.17737,1.9855,0.45024,0.077556,0.15833,0.19536,3.3258388535369963
3943.2,3.1486,281.12,6.7297,0.10744,0.11095,0.063923,0.17669,2.0484,0.42128,0.077053,0.15816,0.19116,3.3550251958074577
3992.7,3.2299,279.61,6.6999,0.10712,0.11071,0.064058,0.17684,1.8538,0.62983,0.077242,0.15821,0.19152,3.3693589835442603
3988.1,3.2061,278.31,6.8285,0.10766,0.11146,0.063713,0.17597,2.0975,0.4355,0.076627,0.15768,0.18831,3.4143888627543806
3989.3,3.0204,272.16,6.6483,0.10669,0.11123,0.064106,0.17693,1.9448,0.58125,0.077355,0.15793,0.19631,3.4166250417862942
3996.9,3.0525,261.78,6.7837,0.10748,0.11216,0.063645,0.17574,1.9713,0.59431,0.076353,0.15712,0.19091,3.4490445578956503
3930.9,3.1621,265.09,6.6772,0.10769,0.1111,0.063803,0.17657,2.1677,0.41177,0.076641,0.15791,0.19002,3.4632025373339457
