Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g190),Error (g60),Error (g278),Error (g79),Error (g237),Error (g189),Error (g178),Error (g215),Reduced Error
1356.9,0.22766,181.73,2.3622,0.31442,0.18753,0.10951,0.099343,0.077808,0.17005,0.23232,0.053318,0.036032,1.2803288598443605
1364.5,0.22627,179.79,2.3906,0.31591,0.18747,0.1097,0.099176,0.077721,0.1695,0.23225,0.052815,0.036519,1.2810626473620352
1357.9,0.22822,183.74,2.3668,0.32463,0.18754,0.10952,0.099347,0.077765,0.17001,0.2323,0.053333,0.036072,1.2905213748005995
1374.6,0.22735,179.59,2.3841,0.32628,0.18742,0.10965,0.099155,0.077748,0.16961,0.23227,0.052907,0.036356,1.2913876296197546
1375.3,0.22749,179.33,2.3847,0.32859,0.18741,0.10965,0.099143,0.077748,0.16959,0.23227,0.052887,0.036366,1.2936533242426644
1376.5,0.22509,178.56,2.3846,0.32915,0.18741,0.10967,0.099154,0.07777,0.16958,0.23229,0.052846,0.036403,1.2942825853054496
1360.7,0.22214,182.44,2.3852,0.33423,0.18756,0.10968,0.099307,0.077736,0.16967,0.23229,0.052986,0.03647,1.2999452874275432
1378.9,0.22155,178.11,2.413,0.34474,0.18742,0.10988,0.099056,0.077683,0.16908,0.23224,0.052394,0.036934,1.3094265977243078
1379.0,0.22407,178.22,2.4242,0.36839,0.1874,0.10994,0.098982,0.077622,0.16887,0.23218,0.052248,0.037086,1.3327169164780703
1378.9,0.22256,178.53,2.4358,0.37313,0.18741,0.11002,0.098956,0.077581,0.16868,0.23216,0.052094,0.037298,1.3373286962958824
