Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
22.184,13.388,28.659,2.997,8.6918e-07,0.27354,0.019696,0.024814,0.039489,0.020113,0.31734,0.1158314474296465
772.08,333.88,184.88,1.2551,8.4256e-05,0.24604,0.018682,0.027571,0.045289,0.036076,0.34718,0.1201396043360114
772.18,343.61,185.26,1.2531,8.385e-05,0.24697,0.018681,0.027576,0.045297,0.036105,0.34718,0.12030143410260936
708.51,345.51,176.13,1.2503,7.8233e-05,0.24706,0.018694,0.027571,0.045306,0.036075,0.34717,0.12031197227628772
711.11,344.66,176.1,1.251,7.8317e-05,0.24735,0.018693,0.02757,0.045303,0.036068,0.34717,0.12035821550773744
708.53,319.21,172.74,1.2557,7.7788e-05,0.24762,0.018695,0.027557,0.045282,0.035998,0.3472,0.120391649905543
768.35,333.84,186.39,1.2558,8.4411e-05,0.24834,0.018683,0.027571,0.045288,0.03607,0.34713,0.12051432577091152
747.39,144.75,184.98,1.1944,7.7546e-05,0.2484,0.018702,0.027713,0.04553,0.03681,0.3474,0.1207595129494719
775.27,333.69,186.44,1.2531,8.4246e-05,0.24973,0.018681,0.027578,0.045298,0.03611,0.34717,0.12075996438103213
731.41,334.72,174.12,1.2493,7.8029e-05,0.25447,0.018688,0.027575,0.045304,0.036103,0.34727,0.12156771747250912
