iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,213.62,2.2875,132.86,4.7097,5.1997e-05,0.10797689340641632,0.07534550106278229,0.13196011127417123
2,289.66,0.68346,99.173,9.7593,3.3909e-05,0.2670631831891922,0.07283126211574331,0.2902460939438763
3,770.54,0.50429,163.98,3.6285,5.3436e-05,0.155817835529456,0.07977229917236209,0.18121014699962987
4,279.11,2.161,142.54,4.9653,7.6373e-05,0.08773108585135508,0.07484147482476348,0.11155386718465259
5,458.04,0.81701,121.26,10.728,6.5902e-05,0.057221826379259065,0.07276947566276913,0.08038506989512924
6,413.87,0.85403,125.26,11.311,7.3476e-05,0.03310340607523839,0.07268898730310383,0.05624102935050437
7,391.99,0.95159,122.01,11.07,7.4159e-05,0.035254784111830195,0.07262230636666474,0.05837118218580763
8,417.57,0.86294,121.44,14.099,7.2814e-05,0.0505209478355007,0.07277154803639507,0.07368485100838387
9,435.23,0.81769,129.16,8.9272,8.8183e-05,0.02718187327795577,0.07284504991095228,0.05036917282416354
10,528.28,0.61173,127.76,11.936,6.9516e-05,0.04081349169152704,0.07290779302738284,0.06402076299198464
11,449.28,0.79001,121.12,11.367,7.3608e-05,0.03686275991545072,0.07275011096631648,0.06001983945699706
