iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,83.99,6.1674,47.796,13.845,3.2362e-05,0.46337189538058604,0.07192648003336342,0.48626680505360664
2,226.28,0.07443,57.829,14.074,3.1666e-05,0.09940529949261526,0.07333539421209492,0.12274868047751061
3,313.01,4.6363,64.219,15.739,4.7744e-05,0.09853953599311466,0.07367639756986598,0.12199146171801041
4,275.74,0.060354,64.129,14.575,4.7301e-05,0.024344434441907103,0.07340916192333798,0.047711296418572274
