Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
574.58,10.867,98.053,2.6252,0.038875,0.11115,0.063804,0.1373,0.21975,0.090117,0.41353,0.11993,0.11869,1.31314636022985
574.05,11.308,98.443,2.6275,0.038994,0.1113,0.063304,0.13725,0.21981,0.089685,0.44921,0.12016,0.11836,1.34806903023765
569.92,11.406,99.438,2.5664,0.038962,0.11166,0.063951,0.13743,0.21991,0.090205,0.46462,0.12007,0.11846,1.365263337386196
573.07,11.49,98.002,2.5913,0.039039,0.11134,0.063404,0.13733,0.21988,0.089751,0.47272,0.12035,0.11811,1.3719336989477182
601.39,11.607,94.889,2.6335,0.038857,0.1118,0.063467,0.13725,0.21976,0.089668,0.48518,0.12093,0.11788,1.3847990358354167
573.96,11.106,93.546,2.6113,0.039162,0.11002,0.062723,0.13725,0.21981,0.089226,0.50951,0.12083,0.11745,1.405991809449896
513.4,10.856,98.132,2.6158,0.039799,0.1082,0.060975,0.1371,0.21995,0.088152,0.51518,0.11978,0.11743,1.4065661103756577
509.63,10.848,100.88,2.5892,0.039696,0.10876,0.061662,0.13721,0.21999,0.088723,0.54316,0.11932,0.11798,1.4364895860560487
578.95,11.245,105.09,2.6198,0.038537,0.1132,0.065158,0.13744,0.21978,0.091098,0.5687,0.11901,0.11999,1.4728966728536599
579.62,12.095,94.495,2.5778,0.039255,0.11089,0.062537,0.1373,0.21995,0.088967,0.58008,0.1213,0.11699,1.4772670241444228
