Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1734.8,0.15135,118.51,12.166,0.36381,0.085456,0.069514,0.064441,0.12845,0.055359,0.7670290970200059
1735.8,0.15136,118.68,12.189,0.3664,0.085457,0.069506,0.064428,0.12844,0.055365,0.7696012335641705
1735.7,0.15134,118.54,12.217,0.36643,0.085435,0.069531,0.064415,0.12845,0.055367,0.7696297599504555
1734.7,0.15096,119.11,12.154,0.36685,0.085493,0.069454,0.064456,0.12839,0.055362,0.7700063310685916
1747.3,0.14998,118.51,12.229,0.36726,0.08543,0.069552,0.06442,0.12847,0.055362,0.7704887628582038
1738.7,0.15152,119.48,11.971,0.3705,0.085613,0.069329,0.064527,0.12838,0.055361,0.7737033827991928
1727.3,0.15248,120.05,11.365,0.37254,0.086021,0.068897,0.064837,0.12827,0.05533,0.7758967300302989
1735.5,0.1509,119.99,12.15,0.38023,0.085547,0.069367,0.064457,0.12833,0.055375,0.7833021849969984
1745.2,0.15095,119.84,11.285,0.38112,0.086078,0.06885,0.064888,0.12829,0.055316,0.7845405449425736
1736.1,0.15072,119.36,11.388,0.38262,0.085947,0.06899,0.064846,0.1283,0.055307,0.7860131033297579
