iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,220.26,28.858,64.17,15.819,4.7048e-05,0.08583230302206923,0.07321099182528654,0.10913608549737862
2,178.03,3.1378,42.906,15.998,3.3181e-05,0.32685930191580254,0.07383008989421448,0.35036014942696897
3,273.82,49.674,61.143,15.999,5.5658e-05,0.02874021415536212,0.07363102077398606,0.05217769599752595
4,255.23,50.664,65.103,15.723,5.6349e-05,0.02214676114698029,0.07340487676299888,0.04551225911474564
5,710.4,0.30458,62.623,15.629,5.6546e-05,0.7662750937416793,0.07407159084694188,0.7898528133936217
6,239.07,188.11,64.257,15.959,5.7228e-05,0.02211145339835376,0.07353921781215696,0.04551971345018643
