Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
648.18,43.941,291.74,320.72,809.1,2.432,77.093,17.996,0.22305,0.13721,0.045101,0.5143,0.051576,0.12174,0.051311,0.12352,0.14537,1.4131862350113125
646.4,104.66,285.99,322.37,759.91,1.816,77.018,17.867,0.22389,0.13744,0.043456,0.56364,0.051332,0.2266,0.05022,0.12237,0.1438,1.5627424937273062
648.28,122.87,291.7,319.5,857.17,1.9515,73.361,18.892,0.22385,0.13788,0.044323,0.638,0.050262,0.16214,0.05109,0.12324,0.14457,1.5753617037339578
644.78,102.92,292.85,321.4,281.61,1.8621,71.554,13.284,0.22736,0.14525,0.0324,0.55555,0.058422,0.30992,0.040225,0.11432,0.14038,1.6238399444387681
648.18,134.08,291.79,319.33,882.24,2.556,74.132,18.029,0.22406,0.13833,0.043424,0.77175,0.049889,0.13023,0.05157,0.1233,0.14452,1.6770827886797857
661.83,106.5,291.07,322.4,267.42,1.8711,71.266,13.418,0.22745,0.14589,0.03199,0.67,0.058691,0.28158,0.039685,0.1139,0.14068,1.7098652040515372
648.62,131.39,291.71,320.36,905.94,1.8457,74.312,18.002,0.22318,0.13644,0.046679,0.79964,0.049078,0.13748,0.053466,0.12349,0.14522,1.7146733228854854
648.2,10.205,291.71,319.59,740.1,2.026,73.282,19.832,0.22238,0.13766,0.047571,0.84243,0.051592,0.12089,0.050154,0.12353,0.14651,1.742711097783701
647.85,32.019,291.78,320.39,9.6871,1.8362e-05,42.718,12.108,0.23289,0.17257,0.045708,0.81074,0.076081,0.12837,0.047788,0.10221,0.18029,1.7966390401559593
662.03,13.487,292.6,318.99,710.04,3.5002,72.863,17.996,0.22306,0.13894,0.044685,0.90802,0.052625,0.11651,0.04976,0.12319,0.14617,1.8029625026995766
