Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1999.8,0.17532,145.6,6.2897,0.13066,0.10141,0.059453,0.032939,0.11121,0.39469,0.13363,0.21859,0.047489,1.2300698186946177
1997.9,0.17938,143.12,6.4523,0.13132,0.10193,0.058569,0.032474,0.11112,0.39638,0.13367,0.21866,0.047612,1.2317364953638152
1997.7,0.17673,143.32,6.4439,0.13119,0.10189,0.058594,0.032437,0.11115,0.39679,0.1336,0.21869,0.047735,1.2320864532100266
1999.8,0.17582,145.95,6.3341,0.13078,0.10157,0.059215,0.032784,0.11121,0.39737,0.1336,0.21862,0.047593,1.2327473193384961
1997.9,0.1776,142.92,6.3981,0.13113,0.10175,0.058846,0.032619,0.11114,0.39809,0.13366,0.21864,0.047562,1.2334429840477288
1999.9,0.17757,143.77,6.2974,0.13081,0.10134,0.059399,0.032976,0.11115,0.40112,0.13371,0.21857,0.047337,1.236401640050348
1977.6,0.17737,145.99,6.3404,0.1309,0.10164,0.059094,0.032777,0.11116,0.40557,0.13365,0.21862,0.047569,1.240974453602701
1997.9,0.17591,144.89,6.1535,0.13031,0.10077,0.060165,0.033477,0.1112,0.4092,0.13373,0.2185,0.047112,1.2444629533557503
1999.8,0.17607,142.85,6.5119,0.13135,0.10204,0.058229,0.032213,0.11115,0.41284,0.13355,0.21876,0.047914,1.248045294323946
1999.0,0.17481,144.9,6.1495,0.13027,0.10079,0.060186,0.033462,0.11121,0.41388,0.13371,0.21851,0.047155,1.2491650411749853
