Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
787.52,3.2376,63.843,11.632,0.1831,0.62527,0.12971,0.161,0.092927,0.078366,1.2703729834772068
753.22,3.2155,64.603,11.622,0.18227,0.62984,0.12857,0.16078,0.09247,0.078183,1.2721178039409697
800.93,3.2601,63.863,11.522,0.18315,0.62764,0.1298,0.16099,0.09296,0.078359,1.2728969538532755
810.35,3.1855,63.805,11.248,0.18318,0.62811,0.12973,0.16095,0.092882,0.078398,1.273251169208042
789.76,3.3031,64.084,11.438,0.18295,0.62947,0.12963,0.16109,0.09299,0.078392,1.27451174386356
788.01,3.1753,64.108,11.401,0.18282,0.63064,0.12924,0.16085,0.09268,0.078302,1.2745341999551842
786.67,3.18,64.115,11.75,0.18283,0.63131,0.12918,0.16066,0.092545,0.078172,1.27469913663943
744.08,3.2786,64.226,12.295,0.18267,0.63118,0.12915,0.16088,0.092702,0.078221,1.2748020116039425
782.65,3.2614,63.986,11.387,0.18297,0.63055,0.12961,0.16114,0.092996,0.078447,1.2757142247519868
787.59,3.2789,63.871,11.819,0.18312,0.63126,0.12978,0.16098,0.092953,0.078324,1.2764163546004168
