Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
139.12,0.00023609,477.37,4.0585,0.086267,0.14193,0.070448,0.16274,1.8256,0.4156,0.086208,0.13607,0.24417,3.1689887425220515
557.09,0.00081861,484.94,2.0372,0.10312,0.18682,0.070219,0.16201,1.5606,0.38631,0.082525,0.13766,0.51563,3.204911749536603
135.85,0.00017933,475.86,4.3802,0.085475,0.13684,0.073573,0.16259,2.0461,0.50191,0.087775,0.14157,0.23847,3.474274860324242
520.27,0.00085256,473.29,2.1598,0.10335,0.18404,0.069692,0.16323,1.5583,0.69449,0.081665,0.13578,0.50418,3.494731434319342
515.66,0.001028,450.04,2.2872,0.10383,0.18203,0.069621,0.16431,1.9026,0.45326,0.081073,0.13567,0.49947,3.5918873489857925
467.09,0.00075727,448.87,2.277,0.10325,0.18165,0.069593,0.16468,1.7548,0.67423,0.081151,0.13403,0.49516,3.658494363452048
534.0,0.00088051,474.56,2.1466,0.1033,0.18448,0.06978,0.16299,1.589,0.84766,0.081817,0.13631,0.50669,3.682039557901494
527.08,0.00085627,474.47,2.2199,0.10303,0.18304,0.069596,0.16352,1.5588,0.95771,0.081782,0.13563,0.50248,3.7555980058776806
521.83,0.00097963,452.49,2.2528,0.1037,0.18269,0.069721,0.16407,1.8061,0.71458,0.081315,0.136,0.50327,3.761422446763173
497.85,0.0008162,476.46,2.2091,0.10324,0.18282,0.069421,0.16361,1.4683,1.1028,0.081385,0.13457,0.4962,3.802373663417782
