iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,364.1468366994024,892.2630642159467,431.99510818077533,4.529330256689139,2.496047669001206,0.09596557787927501,2.5265944611735196
2,504.24442746969464,243.28313509578632,196.44641026466795,2.1709002311137877,0.7059966621152346,0.10634592392998105,0.7398476210574969
3,796.4428457194679,456.90342329640714,316.1057180084108,18.03333746741795,2.502342765301749,0.19416738961698068,2.564148164991334
4,707.6458405144272,531.1452332902425,453.20519324422713,13.565757276303424,3.34256388759739,0.20615384567190526,3.408184694749565
5,114.14197115215683,868.7168886576552,250.3692338371654,9.337362585916063,1.1098451462746153,0.09499665009790606,1.140083519155121
6,434.4036810613725,28.75100818531562,43.233758920177145,16.92896962726614,0.1259970163539437,0.09705830537388785,0.15689163449069754
7,185.59891607985782,321.6048092696617,102.3563604221488,6.845621018187122,0.09360747609003964,0.09300610505483026,0.12321223880444034
8,916.1935919400411,741.4379314002507,168.61449066328422,12.626695800269054,1.6275932613059632,0.09285108485246664,1.6571486795573933
9,264.95,48.276,71.901,10.802,0.10997049953576014,0.09233917166255541,0.13936297075797366
10,312.57,74.735,75.012,11.771,0.015998759829603457,0.09282533841875791,0.04554598273665014
11,302.1,48.538,76.921,13.053,0.022510147531399134,0.09332167383797069,0.05221535890924442
12,311.79,88.251,74.716,12.302,0.014849797873570403,0.09291072243285026,0.044424199356424734
13,305.25,41.48,76.298,15.126,0.015844804678000094,0.0940153259691524,0.04577081238677297
14,288.37,16.872,77.865,16.954,0.02846207183642678,0.09457502965972395,0.05856623876324214
15,316.82,87.417,74.688,12.298,0.014673959849872914,0.09295312045588827,0.04426185704261489
16,330.24,47.127,76.257,10.872,0.02100438697361002,0.0928494009537225,0.050559269223422576
17,438.63,4.026,63.818,9.07,0.0925223415432804,0.0938377694495269,0.1223918312565001
18,328.5,40.441,74.431,9.9033,0.013710722761550328,0.09266040871982378,0.04320544691490096
19,910.35,0.089134,43.699,1.4053,0.19487360859069092,0.11804315245308993,0.23244791101280982
20,314.29,83.022,74.901,14.419,0.016873830444882096,0.09359590951250107,0.04666633374907468
21,331.86,40.454,74.808,9.7587,0.014556971770976607,0.0926301864785239,0.04404207588613886
22,317.66,102.76,74.238,11.631,0.013991019646849179,0.09271302907429288,0.04350249337924182
23,329.04,2.1553,72.499,15.487,0.015644758483912183,0.09469123423263838,0.045785914475105965
24,328.4,38.271,74.839,10.418,0.013336010762379055,0.09282800136854563,0.04288408131266958
25,315.68,94.495,75.229,11.936,0.014131882370447116,0.09278951965891852,0.04366770381212608
26,338.85,0.99738,74.588,17.334,0.03071524424519319,0.09524780347126235,0.061033561727386776
27,313.67,73.78,74.947,10.617,0.016288600708542468,0.09251201526955263,0.04573608975962687
28,30.79,0.0049402,47.74,1.0509,0.8462125427464835,0.12549214768137243,0.8861579339919006
29,330.72,0.066107,75.061,10.049,0.011030121477023478,0.09283195409494602,0.04057945021920463
30,333.82,0.065701,74.807,10.409,0.011074675289118475,0.09294628930470981,0.04066039805890634
31,378.16,0.0066314,70.427,12.306,0.052005327202603154,0.09428156518920638,0.08201608148720908
32,336.63,0.021787,75.907,9.8063,0.014466169538763785,0.09274418892428435,0.04398756175946071
33,332.93,0.074959,75.022,10.802,0.011958401618167533,0.09305371425421355,0.04157831881140523
34,335.66,0.13894,74.74,9.7098,0.011913959406224693,0.09286517719620006,0.04147386338998469
35,312.03,72.079,75.754,10.963,0.015652445112676956,0.09257882028629312,0.045121198861036535
