Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
342.6,76.996,57.365,4.5776,2.6777e-05,0.29206,0.047068,0.027927,0.031126,0.29381,0.018475,0.11841032637727034
326.55,74.346,58.304,4.8129,2.6894e-05,0.28947,0.045982,0.0283,0.030926,0.29938,0.018408,0.11874469759210117
342.72,73.941,56.075,4.4704,2.5033e-05,0.29324,0.047728,0.027741,0.031213,0.297,0.018584,0.11925058842271107
332.12,72.216,56.586,4.7634,2.398e-05,0.29019,0.046129,0.028235,0.03095,0.302,0.018398,0.11931792647450727
351.39,75.888,56.866,4.4571,2.6759e-05,0.29349,0.047803,0.027719,0.031191,0.29854,0.018629,0.11956140777695046
341.72,77.41,57.587,3.9447,2.6768e-05,0.29903,0.052148,0.027162,0.031728,0.2909,0.020102,0.12017924736696463
327.35,78.699,57.062,4.1215,2.5105e-05,0.29676,0.050763,0.027245,0.031641,0.30385,0.019392,0.12160760041427089
325.66,78.076,57.624,4.8923,2.7053e-05,0.28905,0.04572,0.028419,0.030862,0.33555,0.018411,0.12466911334227267
348.74,70.062,57.566,4.4008,2.6769e-05,0.29375,0.048129,0.02764,0.031212,0.33163,0.018738,0.12518413569683626
312.18,94.544,58.512,4.1862,2.6836e-05,0.29577,0.050683,0.027277,0.031739,0.32845,0.019266,0.12553043261220703
