Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
928.94,0.2082,116.45,6.507,0.068117,0.12226,0.055629,0.16131,0.10049,0.057353,0.5651533674861559
929.04,0.21095,116.72,6.6397,0.067942,0.12243,0.055606,0.16195,0.099924,0.057615,0.5654701044705563
921.84,0.21076,116.14,6.5104,0.068111,0.12226,0.055612,0.16279,0.10042,0.057375,0.5665673518079939
957.03,0.2038,116.36,6.6817,0.067835,0.12258,0.055683,0.16299,0.099901,0.057672,0.5666576048731194
931.14,0.2125,115.19,6.7231,0.067777,0.12261,0.055623,0.16515,0.099533,0.05783,0.5685139657119243
906.16,0.21042,116.46,6.3805,0.068343,0.12204,0.055576,0.16531,0.10087,0.057145,0.5692790764428303
919.72,0.2082,116.45,6.507,0.068138,0.12226,0.05561,0.17567,0.10045,0.057363,0.5794882770639536
968.63,0.20027,113.48,6.5113,0.067955,0.12255,0.0558,0.17536,0.10073,0.057344,0.5797286712314712
1176.7,0.20621,122.57,10.784,0.064938,0.12772,0.055606,0.18335,0.088113,0.066614,0.5863322493115191
922.34,0.21049,117.87,6.4804,0.068206,0.1221,0.055569,0.1837,0.10049,0.057311,0.5873713294554788
