Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
693.63,0.56417,139.96,8.3037,0.1596,0.11976,0.12707,0.057982,0.13816,0.12034,0.44589,0.069693,0.38812,1.6266271104766419
676.59,0.57454,138.07,8.5043,0.15929,0.11998,0.12633,0.057568,0.13884,0.11906,0.42509,0.070249,0.41748,1.633878581320881
678.06,0.5796,138.77,8.5099,0.15931,0.11988,0.12636,0.057587,0.13882,0.1194,0.42555,0.07016,0.41888,1.6359401295691003
678.22,0.56837,138.11,8.5238,0.15926,0.12001,0.12624,0.057515,0.13891,0.11892,0.42154,0.070323,0.42365,1.6363731870570666
678.25,0.57951,138.04,8.5228,0.15923,0.12002,0.12629,0.057535,0.13886,0.11876,0.42246,0.070257,0.42334,1.6367437488904426
676.63,0.57436,137.87,8.4447,0.15939,0.11995,0.12655,0.057688,0.13866,0.1193,0.43625,0.070119,0.40999,1.6378994693615816
675.41,0.57582,137.78,8.5068,0.15928,0.12001,0.12631,0.057559,0.13885,0.11893,0.42693,0.070274,0.42001,1.6381643574052158
677.22,0.57011,139.41,8.5238,0.15936,0.11978,0.12628,0.057563,0.13891,0.11995,0.43092,0.070197,0.41905,1.6419973750083776
679.32,0.5855,137.87,8.5256,0.1592,0.12007,0.12631,0.057532,0.13883,0.11847,0.42473,0.070237,0.42737,1.6427462609248398
674.82,0.57696,137.42,8.4464,0.15937,0.12,0.12653,0.057679,0.13867,0.11907,0.43962,0.070151,0.41355,1.6446504604253764
