Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
312.57,74.735,75.012,11.771,0.13306,0.1116,0.35551,0.22324,0.03722,0.032529,0.10867,0.051274,0.14155,1.1946705042590897
310.54,74.525,74.884,11.771,0.13305,0.11162,0.37199,0.22322,0.037259,0.032484,0.10865,0.051273,0.14148,1.211018254609061
312.57,74.735,75.012,12.241,0.13303,0.11185,0.37179,0.22333,0.036925,0.032659,0.10875,0.051392,0.14175,1.211479813515082
317.26,75.687,73.591,11.623,0.1332,0.11147,0.37198,0.22334,0.037243,0.032803,0.10902,0.051219,0.14198,1.212253057559211
313.91,80.402,75.036,11.227,0.1332,0.11132,0.37492,0.22305,0.037746,0.032232,0.10876,0.051098,0.14139,1.2137131651237285
318.92,78.604,73.308,10.961,0.13331,0.11109,0.38349,0.22319,0.037836,0.032554,0.10914,0.050983,0.14179,1.2233751263980321
308.07,80.16,76.523,11.414,0.13307,0.11147,0.39415,0.22293,0.037705,0.031942,0.1084,0.051181,0.14094,1.2317981311671724
311.95,84.374,74.961,11.208,0.13324,0.11134,0.39413,0.22295,0.037934,0.032041,0.10879,0.051092,0.1413,1.232814708617618
312.57,76.281,76.146,11.666,0.13305,0.11156,0.40024,0.22313,0.037311,0.032318,0.10851,0.051264,0.14133,1.2387025137327696
305.96,79.446,76.695,11.836,0.13303,0.1117,0.40577,0.22301,0.037357,0.032041,0.10835,0.051358,0.14108,1.2436854823907315
