Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1917.3,0.15064,83.617,10.545,0.31616,0.085058,0.066303,0.065467,0.1204,0.054128,0.7075136562926522
1917.7,0.15215,82.693,10.569,0.31958,0.084942,0.066369,0.065457,0.1203,0.054114,0.7107608650368591
1916.6,0.15209,82.699,10.558,0.31957,0.08495,0.066371,0.065464,0.12032,0.054112,0.7107825905730001
1916.5,0.1513,82.787,10.519,0.32321,0.08498,0.066384,0.065483,0.12041,0.054106,0.714571161761515
1912.3,0.15125,83.093,10.461,0.32406,0.085042,0.066378,0.065496,0.12054,0.054111,0.7156353838274951
1916.1,0.15219,83.633,10.503,0.32462,0.085062,0.06632,0.065442,0.12048,0.054141,0.716065046974419
1916.6,0.14723,86.787,10.588,0.326,0.085389,0.066019,0.065447,0.12046,0.054202,0.7175199250393476
1949.9,0.14742,83.976,10.515,0.32619,0.085056,0.066363,0.065414,0.12052,0.054132,0.7176743726925126
1916.6,0.15146,83.592,10.671,0.32671,0.085007,0.066248,0.065428,0.12015,0.054147,0.717681065660115
1875.9,0.15611,83.426,10.557,0.32686,0.085089,0.066214,0.065504,0.1203,0.054147,0.7181113476887048
