Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
308.41,0.26763,150.18,2.6109,0.15625,0.11716,1.21,0.16014,0.26221,0.16399,0.75993,0.12305,0.11949,3.07224488742649
328.52,0.28219,126.41,2.5666,0.15599,0.11772,0.87179,0.16049,0.26212,0.16527,1.1443,0.17409,0.11969,3.1714854448493353
333.39,0.28227,126.48,2.5773,0.15585,0.11772,0.87474,0.16038,0.26212,0.16533,1.1527,0.17316,0.11968,3.1816532151915013
325.99,0.27862,128.19,2.5204,0.15673,0.11768,0.9051,0.16102,0.26217,0.16525,1.1172,0.17721,0.11973,3.1820818559065662
334.34,0.27889,125.9,2.5648,0.15599,0.11775,0.87514,0.16054,0.26215,0.16538,1.161,0.17614,0.1197,3.1937620318719606
325.44,0.28209,149.96,2.5607,0.15716,0.11709,1.2579,0.16051,0.26209,0.16442,0.83977,0.13249,0.11953,3.2109207450126176
347.72,0.28033,123.24,2.6556,0.15464,0.11785,0.92301,0.15967,0.26212,0.16548,1.2442,0.16859,0.11965,3.3152264754809573
351.45,0.27999,128.01,2.5938,0.15574,0.11767,1.0663,0.16022,0.26212,0.16549,1.137,0.16936,0.11964,3.3534845783555487
346.64,0.2812,119.35,2.5671,0.15579,0.11791,0.91876,0.16057,0.26209,0.16574,1.3271,0.19554,0.11977,3.4232991983910632
356.77,0.2785,120.4,2.603,0.15531,0.11791,0.97323,0.16025,0.26214,0.16577,1.3188,0.18619,0.11973,3.4593119085853705
