Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
909.67,2.3425,268.44,19.819,1.1909,0.2012,0.11651,0.1977,0.10075,0.20532,0.080985,0.091646,0.166,2.3510190716742305
904.12,2.3729,268.51,19.835,1.1916,0.20122,0.11646,0.19771,0.10074,0.20541,0.08108,0.091741,0.16627,2.3522054015642193
924.16,2.2802,266.9,19.82,1.1934,0.20117,0.11665,0.19767,0.1008,0.20504,0.080765,0.091419,0.16549,2.352452310992527
905.78,2.3737,269.83,19.819,1.1947,0.20123,0.11643,0.19764,0.10075,0.20533,0.080975,0.091678,0.16614,2.3549182180093715
909.43,2.3448,269.07,19.819,1.1961,0.20119,0.1165,0.19769,0.10076,0.2053,0.080953,0.091626,0.16595,2.3561097023994595
909.95,2.3696,269.55,19.822,1.1971,0.20125,0.11641,0.19757,0.10078,0.20519,0.080869,0.0916,0.16608,2.3568023804163305
908.64,2.3502,267.12,19.82,1.2005,0.20127,0.11651,0.19773,0.10072,0.20537,0.081079,0.091722,0.16621,2.3610948933381484
907.06,2.3939,272.02,19.875,1.2027,0.20109,0.11633,0.19743,0.10089,0.20507,0.080677,0.091481,0.16596,2.3615850685629307
914.52,2.3456,268.82,19.774,1.202,0.20137,0.11646,0.19759,0.10072,0.20516,0.080874,0.091596,0.166,2.3617907216771563
918.99,2.3277,270.56,19.817,1.206,0.20117,0.11648,0.19752,0.10084,0.20498,0.080633,0.091385,0.16554,2.364523405137074
