Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1980.9,0.10416,127.98,7.658,0.068412,0.054307,0.094694,0.061176,0.22703,0.12667,0.6322945521473546
1948.7,0.10216,127.8,7.4449,0.068714,0.054111,0.09493,0.060966,0.22781,0.12643,0.6329578854658351
1945.3,0.10617,127.87,7.7372,0.068231,0.054362,0.093864,0.061732,0.23083,0.12687,0.6358908971698379
1960.9,0.10386,128.83,7.7123,0.068393,0.054296,0.094392,0.061348,0.23101,0.12648,0.6359204207770401
1979.7,0.108,128.15,7.962,0.067951,0.054532,0.093737,0.061859,0.23602,0.12703,0.6411293205406609
1985.5,0.10714,128.3,7.9576,0.067994,0.054519,0.093898,0.061745,0.23754,0.12693,0.6426288970256027
1981.5,0.1053,126.75,7.5665,0.06841,0.054303,0.094753,0.061161,0.23706,0.12696,0.6426496410036644
1979.8,0.10091,128.02,7.5339,0.068666,0.054182,0.095211,0.060806,0.23759,0.12634,0.6427921092396883
1982.6,0.10401,126.98,7.6923,0.068348,0.054343,0.094551,0.061298,0.23915,0.1268,0.6444858313199957
1981.6,0.10294,127.82,7.6866,0.068428,0.054302,0.094702,0.061175,0.23935,0.12656,0.6445079179878695
