Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
0.42122,570.13,652.95,874.27,220.4,971.13,72.995,8.5866,0.050234,0.51215,0.10144,0.12886,0.21727,0.050479,0.036801,0.1078,0.13831,1.3433407100117183
0.054388,574.2,652.47,857.07,218.1,615.59,47.005,14.116,0.044137,0.71219,0.10782,0.13194,0.2201,0.05841,0.043774,0.10324,0.14891,1.570526631328664
0.31938,564.84,651.57,860.85,222.19,948.89,68.181,15.158,0.045272,0.74572,0.10359,0.12985,0.21871,0.05554,0.038871,0.10589,0.14364,1.5870790570134998
0.055959,574.93,652.53,857.48,218.11,592.37,45.175,14.115,0.043852,0.76131,0.10846,0.13225,0.22017,0.058721,0.044341,0.10292,0.14934,1.6213739522688524
0.055956,575.12,652.53,858.77,218.02,588.27,44.446,14.104,0.043821,0.79321,0.10851,0.13233,0.22018,0.058774,0.044493,0.10286,0.14944,1.6536182828669561
0.00010159,569.08,651.24,860.15,84.786,960.62,18.855,14.359,0.058606,0.73517,0.14914,0.13243,0.22086,0.061646,0.047718,0.1093,0.1589,1.6737752702586604
0.054213,536.34,652.52,860.24,215.9,601.48,43.615,13.994,0.043765,0.82007,0.10877,0.1323,0.22019,0.058874,0.044768,0.10292,0.14929,1.6809395169225732
0.00020333,471.81,651.75,859.16,111.95,961.03,23.161,14.728,0.05709,0.76094,0.14358,0.1306,0.22073,0.060725,0.046288,0.10978,0.15471,1.6844394053478882
0.050556,574.94,659.18,858.38,217.86,585.66,47.414,14.192,0.043924,0.87403,0.10887,0.13208,0.22026,0.058787,0.044056,0.10299,0.14935,1.734344338591885
0.050216,574.89,660.69,859.21,216.12,591.96,47.69,14.033,0.043963,0.87735,0.10831,0.13208,0.2202,0.058644,0.043991,0.10303,0.14926,1.7368341906685587
