Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
692.11,9.411,423.62,5.8225,0.13585,0.074383,0.099164,0.17146,0.65751,0.13928,2.3902,0.21898,0.070476,3.9572529976487085
691.72,9.4487,424.73,5.8196,0.13591,0.074297,0.099193,0.17145,0.70424,0.13917,2.3942,0.21864,0.070496,4.007639529797916
693.67,9.3041,423.82,5.7855,0.13596,0.074386,0.099114,0.17149,0.72745,0.13921,2.3845,0.21952,0.070638,4.022292082522018
696.54,9.6141,438.83,5.682,0.13664,0.073378,0.099394,0.1714,0.3812,0.13769,2.7356,0.21645,0.071292,4.023032071947043
701.93,9.4305,419.64,5.7052,0.13434,0.07609,0.098484,0.17215,0.24533,0.14068,2.8701,0.22463,0.070628,4.032390627515698
694.76,9.4225,424.6,5.7975,0.13575,0.074433,0.099127,0.1715,0.70901,0.13922,2.4229,0.21918,0.070598,4.0417515897643215
692.12,9.8349,435.91,5.8247,0.13636,0.073244,0.099588,0.17118,0.45976,0.13793,2.6928,0.2147,0.07072,4.056306281077369
697.61,9.4886,425.98,5.8638,0.13583,0.07384,0.099417,0.1712,0.45456,0.13869,2.6973,0.21674,0.070527,4.0580698824270725
689.23,9.4445,424.78,5.8195,0.13605,0.074274,0.099193,0.17145,0.74636,0.1392,2.4133,0.2187,0.070461,4.068971615941958
707.21,9.4322,437.79,5.6412,0.13632,0.073507,0.099345,0.1714,0.38579,0.13759,2.7779,0.21703,0.071584,4.0704435632471965
