Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
113.68,624.11,38.565,19.972,0.12522,0.033631,0.27168,0.3532,0.15075,0.098094,0.27472,0.13138,0.026317,1.4649936896940383
117.97,623.36,37.338,19.772,0.12476,0.033019,0.27171,0.34949,0.14965,0.097643,0.3045,0.1313,0.0263,1.4883832486230266
117.64,632.44,37.387,19.834,0.12484,0.032762,0.27164,0.35718,0.14982,0.097793,0.29779,0.13128,0.026467,1.4895669077170608
115.73,609.23,37.449,19.77,0.12495,0.033656,0.27182,0.36549,0.15008,0.097683,0.29348,0.13145,0.026021,1.4946391330531994
119.18,636.81,36.979,19.864,0.1247,0.03239,0.27162,0.35089,0.14943,0.097665,0.31048,0.13121,0.026579,1.4949710151539248
119.35,625.09,36.851,19.722,0.12466,0.032717,0.2717,0.35475,0.14932,0.097525,0.31341,0.13128,0.026334,1.5016917862384602
115.12,607.06,37.338,19.772,0.12501,0.033722,0.27184,0.38444,0.15022,0.097722,0.28924,0.1315,0.025979,1.50968017678982
116.76,593.99,37.31,19.368,0.12489,0.034177,0.2719,0.37765,0.14983,0.097501,0.29771,0.13156,0.025636,1.5108554697523635
115.91,593.05,37.488,19.772,0.12486,0.034253,0.27197,0.37343,0.14981,0.097408,0.30659,0.13148,0.025769,1.515572720164509
107.71,563.49,39.462,19.199,0.12605,0.036842,0.27214,0.43192,0.15217,0.098222,0.24287,0.1321,0.024895,1.5172048731149654
