Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
252.54,186.07,60.918,8.2555,0.02928,0.088296,0.025057,0.29059,0.26254,0.11512,0.32229,0.12592,0.12206,1.3811447451931824
257.97,190.21,60.768,8.1244,0.029279,0.088576,0.025667,0.28635,0.26236,0.11508,0.32881,0.12618,0.12233,1.3846339010144675
252.98,191.37,61.556,8.0747,0.029188,0.088549,0.025338,0.29561,0.2624,0.1152,0.32307,0.1264,0.12254,1.3883003990719844
254.29,187.58,60.513,8.2742,0.029289,0.08841,0.025187,0.28593,0.26252,0.11506,0.33777,0.12596,0.12203,1.3921561262180386
253.75,192.66,61.594,8.0314,0.029183,0.088661,0.025472,0.29977,0.26234,0.1152,0.32303,0.12651,0.12263,1.3928053006259773
265.18,184.83,59.92,8.2011,0.02948,0.088468,0.026129,0.32221,0.26227,0.1149,0.30463,0.12567,0.12194,1.3956940150702088
253.61,189.88,61.169,8.2274,0.029247,0.088404,0.025097,0.28333,0.26253,0.11512,0.35085,0.1261,0.12216,1.4028411580683195
257.11,181.87,60.379,8.3957,0.029459,0.088129,0.025162,0.29868,0.26259,0.11495,0.34491,0.12539,0.12157,1.410831197347563
252.72,180.05,61.156,8.2795,0.029373,0.087995,0.025014,0.30361,0.2626,0.11513,0.3411,0.12548,0.12188,1.412172415239485
265.83,182.55,58.353,7.9973,0.029541,0.089074,0.02714,0.37796,0.26185,0.11484,0.26351,0.1261,0.12244,1.4124534493512986
