Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g243),Error (g223),Error (g238),Error (g185),Error (g138),Error (g164),Error (g50),Error (curve),Reduced Error
3226.2,0.12937,112.33,18.89,0.11486,0.05352,0.42236,0.15209,0.079221,0.12394,0.1518,0.12695,0.83079,2.055536634675672
3181.7,0.13641,99.617,19.259,0.11594,0.053014,0.29514,0.15156,0.079613,0.1237,0.15154,0.12103,1.0428,2.1343822071047884
3369.3,0.12192,110.0,19.706,0.11427,0.053646,0.34292,0.15171,0.078907,0.12428,0.15125,0.12545,1.0289,2.1713152373227724
3140.3,0.13143,109.6,15.854,0.11762,0.053737,0.39101,0.15265,0.078611,0.12258,0.15036,0.119,1.0542,2.239749334445919
3175.4,0.12689,109.14,15.451,0.11782,0.053873,0.35661,0.15275,0.078417,0.12244,0.14982,0.11691,1.1025,2.251117030168164
3147.8,0.13185,108.64,15.768,0.11782,0.053735,0.38453,0.15261,0.078568,0.12254,0.15022,0.11806,1.0739,2.2519447101223786
2727.8,0.13102,118.84,16.822,0.11466,0.053465,0.6864,0.15398,0.08175,0.12373,0.15403,0.13444,0.75974,2.2622063430270978
2695.5,0.13069,118.89,17.085,0.11429,0.053416,0.7267,0.15403,0.082152,0.12404,0.15447,0.13615,0.72187,2.2671151429391427
3140.2,0.12839,106.4,15.869,0.11772,0.053678,0.32243,0.15259,0.078755,0.12256,0.1502,0.1171,1.158,2.2730078124307362
3173.1,0.13244,108.56,15.772,0.11791,0.053747,0.39157,0.15253,0.078416,0.12253,0.15007,0.11765,1.0925,2.2768900127125358
