Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g50),Error (curve),Error (g223),Error (g243),Error (g238),Error (g138),Error (g185),Error (g39),Reduced Error
3995.5,0.037867,119.61,17.007,0.15176,0.19316,0.64641,0.46839,0.065866,0.16292,0.13033,0.077885,0.10242,1.9991359661726504
3992.4,0.039475,119.26,16.242,0.15174,0.19511,0.64849,0.51697,0.065562,0.16299,0.12799,0.078871,0.10139,2.0491077130954345
3992.9,0.041281,109.61,15.885,0.15163,0.19459,0.56499,0.61534,0.065159,0.16271,0.12702,0.079849,0.10092,2.0621939422556377
3945.3,0.039539,118.24,16.101,0.15205,0.19786,0.65179,0.52372,0.065593,0.16323,0.12769,0.079322,0.10096,2.062223424578254
3972.2,0.041112,108.71,15.961,0.15176,0.19514,0.56359,0.61682,0.065179,0.16277,0.12722,0.079884,0.10093,2.063291553527405
3993.0,0.041079,109.9,15.847,0.15163,0.19515,0.57039,0.61364,0.065217,0.16278,0.12695,0.079928,0.10079,2.066479482962421
3969.5,0.041527,108.57,15.996,0.15178,0.19444,0.57091,0.6171,0.065078,0.16267,0.12727,0.079767,0.1011,2.070113011037081
3993.0,0.04128,108.71,15.887,0.15161,0.19455,0.5667,0.6232,0.065153,0.1627,0.12702,0.079916,0.10089,2.0717413400335665
3996.3,0.040627,107.72,16.46,0.15159,0.19169,0.57956,0.61252,0.065158,0.16248,0.12844,0.079153,0.10179,2.072383936998987
3992.7,0.041278,106.82,16.28,0.1516,0.19187,0.56742,0.62645,0.065035,0.16244,0.12794,0.079418,0.10159,2.073760615963913
