Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
533.63,0.45007,95.601,1.2428,0.51713,0.12055,0.093196,0.16267,0.1688,0.21935,0.22041,0.17176,0.10751,1.7813807800683255
527.8,0.45954,98.716,1.2432,0.51959,0.1211,0.093766,0.1629,0.16894,0.2194,0.22077,0.1722,0.10751,1.7861798699324383
532.76,0.45717,90.387,1.1696,0.51052,0.12363,0.095709,0.1638,0.17005,0.21949,0.22208,0.17463,0.10817,1.7880764632877482
523.52,0.47,95.811,1.2105,0.51651,0.12284,0.094929,0.16345,0.1695,0.21954,0.22018,0.17373,0.1079,1.788570241973262
532.43,0.46164,95.322,1.2446,0.53587,0.12108,0.093198,0.16271,0.16873,0.21951,0.21832,0.17208,0.1076,1.7991146572211296
545.74,0.43985,79.796,1.062,0.50417,0.12668,0.098678,0.16513,0.17182,0.21946,0.22743,0.17781,0.10905,1.8002379492436933
533.41,0.4496,89.461,1.0223,0.4883,0.1291,0.10217,0.16652,0.17308,0.21943,0.23337,0.18038,0.10922,1.8015833167712116
524.81,0.46545,96.448,1.022,0.48865,0.13008,0.10327,0.16699,0.17331,0.21952,0.2318,0.18132,0.10923,1.8041825261288262
533.15,0.44843,95.608,1.0217,0.48848,0.12924,0.10297,0.1668,0.17327,0.21934,0.23443,0.18077,0.10907,1.8043781290220196
540.72,0.43356,95.414,1.2739,0.54812,0.11854,0.091638,0.16198,0.16815,0.2192,0.22025,0.16999,0.10717,1.8050415151586063
