Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
6.6426,4.1579,424.0,11.778,1.0287,0.22426,0.1166,0.12266,0.14195,0.14687,0.064496,0.050077,0.085918,1.9815245716190872
6.43,4.1307,421.94,11.674,1.0199,0.24149,0.11648,0.1223,0.1424,0.14684,0.064932,0.049843,0.086076,1.9903175989478192
6.5097,4.2134,423.61,11.72,1.037,0.26836,0.11679,0.12295,0.14158,0.14679,0.064106,0.050204,0.085257,2.033025515424121
6.4501,4.1632,423.69,11.683,1.0621,0.30399,0.11655,0.12257,0.142,0.14681,0.064512,0.05002,0.085756,2.094349326048403
6.1398,4.165,424.22,11.65,0.98062,0.60731,0.11678,0.12232,0.14208,0.14658,0.064637,0.049892,0.08487,2.3150890508351347
31.773,2.4722,487.55,19.712,1.3215,0.30432,0.11856,0.12395,0.14764,0.1513,0.072909,0.051058,0.090078,2.3813573305494544
5.9845,4.1334,423.47,11.632,0.97862,0.69474,0.11681,0.12203,0.14245,0.14649,0.065054,0.04968,0.084742,2.400628693217351
30.072,2.5903,473.52,18.897,1.3518,0.35071,0.11792,0.12381,0.14801,0.15128,0.073117,0.051027,0.092189,2.4598799735517027
6.0784,3.9857,424.37,11.622,1.112,0.61765,0.11594,0.1217,0.14351,0.14678,0.066101,0.04928,0.086977,2.4599921303319756
30.869,2.4704,487.22,19.562,1.3023,0.4102,0.11816,0.12396,0.1477,0.15115,0.072993,0.050783,0.090186,2.467406546908791
