Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
965.7,0.46207,157.58,3.1797,0.1507,0.40402,0.24881,0.09349,0.17649,0.17957,0.070424,0.15346,0.10072,1.5776988257331588
965.36,0.46189,155.7,3.195,0.15051,0.405,0.24884,0.093518,0.17633,0.17959,0.070343,0.15318,0.1006,1.5779074330489669
991.88,0.46245,156.05,3.1609,0.15095,0.41489,0.24844,0.093275,0.17633,0.17954,0.07051,0.15382,0.10081,1.588557469288183
961.02,0.45894,155.1,3.1869,0.15055,0.42028,0.24887,0.093549,0.17643,0.17958,0.070354,0.15327,0.10062,1.5935023294535493
975.74,0.47086,155.39,3.2269,0.15028,0.4317,0.24876,0.093465,0.17595,0.17961,0.07026,0.15274,0.10044,1.6032102810853157
991.66,0.46489,155.93,3.2184,0.15037,0.43553,0.24869,0.093348,0.17594,0.17961,0.070291,0.1529,0.10049,1.607177531764736
916.19,0.48145,157.29,3.1658,0.15078,0.4334,0.24889,0.093835,0.17687,0.1795,0.0705,0.15361,0.10079,1.6081724781815974
910.83,0.48142,154.71,3.1776,0.1506,0.43897,0.24891,0.093862,0.17675,0.1795,0.070424,0.15335,0.10067,1.6130490329622618
914.41,0.4809,157.75,3.1669,0.15076,0.44026,0.24895,0.093841,0.17691,0.1795,0.070498,0.15358,0.10079,1.6150786032149878
916.53,0.48088,158.26,3.169,0.15075,0.44127,0.24895,0.093825,0.1769,0.1795,0.070497,0.15356,0.10079,1.6160349359196402
