Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
2.6365,0.0021747,773.14,652.71,654.45,838.33,46.955,1.1641,0.32043,0.14836,0.040354,0.11527,0.12988,0.10414,0.12145,0.23363,0.12359,1.3370976583054828
2.6439,0.0022011,777.76,652.86,654.45,838.46,46.956,1.1495,0.31877,0.14856,0.040493,0.11527,0.12996,0.10498,0.12191,0.23373,0.12396,1.3376139258058837
2.7434,0.0020866,790.69,650.29,654.91,838.46,47.109,1.1485,0.32045,0.14868,0.040412,0.1152,0.13026,0.10506,0.12241,0.23378,0.12426,1.3405216450227435
2.579,0.0022329,780.0,653.08,654.79,838.46,46.953,1.1487,0.32158,0.14859,0.040506,0.11526,0.12998,0.10512,0.12196,0.23375,0.124,1.3407288593724014
5.7075,0.0021952,959.73,649.27,670.39,838.3,47.134,1.1493,0.36052,0.1495,0.039807,0.11444,0.13306,0.1074,0.12584,0.23417,0.12657,1.391311191786476
0.96372,0.0021563,777.79,652.77,659.04,845.23,46.964,1.1386,0.37369,0.14909,0.040634,0.11523,0.13008,0.10624,0.12298,0.23406,0.12477,1.396762863209033
0.55729,0.00074112,763.93,652.81,656.35,838.47,46.74,1.142,0.38141,0.14978,0.039882,0.11527,0.13156,0.10381,0.12629,0.23438,0.12651,1.4089050153047273
5.4993,0.0024565,778.84,680.47,658.36,851.0,44.644,1.1176,0.42626,0.1485,0.040676,0.11535,0.1304,0.1068,0.12245,0.23371,0.12458,1.4487334690726457
5.4983,0.0024762,778.75,680.25,646.43,849.97,44.638,1.0993,0.42904,0.14869,0.040866,0.11539,0.13037,0.10774,0.12281,0.23383,0.12492,1.4536685532859748
5.58,0.0025774,778.85,651.31,647.04,850.36,44.64,1.1001,0.43105,0.14859,0.040938,0.11541,0.13009,0.1076,0.12243,0.23379,0.12459,1.4544885836686212
